occ_label,occ_code
Chief executives,0010
General and operations managers,0020
Legislators,0030
Advertising and promotions managers,0040
Marketing managers,0051
Sales managers,0052
Public relations and fundraising managers,0060
Administrative services managers,0101
Facilities managers,0102
Computer and information systems managers,0110
Financial managers,0120
Compensation and benefits managers,0135
Human resources managers,0136
Training and development managers,0137
Industrial production managers,0140
Purchasing managers,0150
"Transportation, storage, and distribution managers",0160
"Farmers, ranchers, and other agricultural managers",0205
Construction managers,0220
Education and childcare administrators ,0230
Architectural and engineering managers,0300
Food service managers,0310
Funeral home managers,0325
Entertainment and recreation managers,0335
Lodging managers,0340
Medical and health services managers,0350
Natural sciences managers,0360
Postmasters and mail superintendents,0400
"Property, real estate, and community association managers",0410
Social and community service managers,0420
Emergency management directors,0425
"Personal service managers, all other",0426
"Managers, all other",0440
"Agents and business managers of artists, performers, and athletes",0500
"Buyers and purchasing agents, farm products",0510
"Wholesale and retail buyers, except farm products",0520
"Purchasing agents, except wholesale, retail, and farm products",0530
"Claims adjusters, appraisers, examiners, and investigators",0540
Compliance officers,0565
Cost estimators,0600
Human resources workers,0630
"Compensation, benefits, and job analysis specialists",0640
Training and development specialists,0650
Logisticians,0700
Project management specialists,0705
Management analysts,0710
"Meeting, convention, and event planners",0725
Fundraisers,0726
Market research analysts and marketing specialists,0735
"Business operations specialists, all other",0750
Accountants and auditors,0800
Property appraisers and assessors,0810
Budget analysts,0820
Credit analysts,0830
Financial and investment analysts,0845
Personal financial advisors,0850
Insurance underwriters,0860
Financial examiners,0900
Credit counselors and loan officers,0910
"Tax examiners and collectors, and revenue agents",0930
Tax preparers,0940
Other financial specialists,0960
Computer and information research scientists,1005
Computer systems analysts,1006
Information security analysts,1007
Computer programmers,1010
Software developers,1021
Software quality assurance analysts and testers,1022
Web developers,1031
Web and digital interface designers,1032
Computer support specialists,1050
Database administrators and architects,1065
Network and computer systems administrators,1105
Computer network architects,1106
"Computer occupations, all other",1108
Actuaries,1200
Mathematicians,1210
Operations research analysts,1220
Statisticians,1230
Other mathematical science occupations,1240
"Architects, except landscape and naval",1305
Landscape architects,1306
"Surveyors, cartographers, and photogrammetrists",1310
Aerospace engineers,1320
Agricultural engineers,1330
Bioengineers and biomedical engineers,1340
Chemical engineers,1350
Civil engineers,1360
Computer hardware engineers,1400
Electrical and electronics engineers,1410
Environmental engineers,1420
"Industrial engineers, including health and safety ",1430
Marine engineers and naval architects,1440
Materials engineers,1450
Mechanical engineers,1460
"Mining and geological engineers, including mining safety engineers",1500
Nuclear engineers,1510
Petroleum engineers,1520
"Engineers, all other",1530
Architectural and civil drafters,1541
Other drafters,1545
Electrical and electronic engineering technologists and technicians,1551
"Other engineering technologists and technicians, except drafters",1555
Surveying and mapping technicians,1560
Agricultural and food scientists,1600
Biological scientists,1610
Conservation scientists and foresters,1640
Medical scientists,1650
"Life scientists, all other",1660
Astronomers and physicists,1700
Atmospheric and space scientists,1710
Chemists and materials scientists,1720
"Environmental scientists and specialists, including health",1745
"Geoscientists and hydrologists, except geographers",1750
"Physical scientists, all other",1760
Economists,1800
Survey researchers,1815
Clinical and counseling psychologists,1821
School psychologists,1822
Other psychologists,1825
Sociologists,1830
Urban and regional planners,1840
Miscellaneous social scientists and related workers,1860
Agricultural and food science technicians,1900
Biological technicians,1910
Chemical technicians,1920
Environmental  science and geoscience technicians,1935
Nuclear technicians,1940
Social science research assistants,1950
"Other life, physical, and social science technicians",1970
Occupational health and safety specialists and technicians,1980
Substance abuse and behavioral disorder counselors,2001
"Educational, guidance, and career counselors and advisors",2002
Marriage and family therapists,2003
Mental health counselors,2004
Rehabilitation counselors,2005
"Counselors, all other",2006
"Child, family, and school social workers",2011
Healthcare social workers,2012
Mental health and substance abuse social workers,2013
"Social workers, all other",2014
Probation officers and correctional treatment specialists,2015
Social and human service assistants,2016
Other community and social service specialists,2025
Clergy,2040
"Directors, religious activities and education",2050
"Religious workers, all other",2060
Lawyers,2100
Judicial law clerks,2105
"Judges, magistrates, and other judicial workers",2110
Paralegals and legal assistants,2145
"Title examiners, abstractors, and searchers",2170
"Legal support workers, all other",2180
Postsecondary teachers,2205
Preschool and kindergarten teachers,2300
Elementary and middle school teachers,2310
Secondary school teachers,2320
Special education teachers,2330
Tutors,2350
Other teachers and instructors,2360
"Archivists, curators, and museum technicians",2400
Librarians and media collections specialists,2435
Library technicians,2440
Teaching assistants,2545
Other educational instruction and library workers,2555
Artists and related workers,2600
Commercial and industrial designers,2631
Fashion designers,2632
Floral designers,2633
Graphic designers,2634
Interior designers,2635
Merchandise displayers and window trimmers,2636
Other designers,2640
Actors,2700
Producers and directors,2710
Athletes and sports competitors,2721
Coaches and scouts,2722
"Umpires, referees, and other sports officials",2723
Dancers and choreographers,2740
Music directors and composers,2751
Musicians and singers,2752
"Disc jockeys, except radio ",2755
"Entertainers and performers, sports and related workers, all other",2770
Broadcast announcers and radio disc jockeys,2805
"News analysts, reporters, and journalists",2810
Public relations specialists,2825
Editors,2830
Technical writers,2840
Writers and authors,2850
Interpreters and translators,2861
Court reporters and simultaneous captioners,2862
"Media and communication workers, all other",2865
"Broadcast, sound, and lighting technicians",2905
Photographers,2910
"Television, video, and film camera operators and editors",2920
"Media and communication equipment workers, all other",2970
Chiropractors,3000
Dentists,3010
Dietitians and nutritionists,3030
Optometrists,3040
Pharmacists,3050
Emergency medicine physicians,3065
Radiologists,3070
Other physicians,3090
Surgeons,3100
Physician assistants,3110
Podiatrists,3120
Audiologists,3140
Occupational therapists,3150
Physical therapists,3160
Radiation therapists,3200
Recreational therapists,3210
Respiratory therapists,3220
Speech-language pathologists,3230
Exercise physiologists,3235
"Therapists, all other",3245
Veterinarians,3250
Registered nurses,3255
Nurse anesthetists,3256
Nurse midwives,3257
Nurse practitioners,3258
Acupuncturists,3261
"Healthcare diagnosing or treating practitioners, all other",3270
Clinical laboratory technologists and technicians,3300
Dental hygienists,3310
Cardiovascular technologists and technicians,3321
Diagnostic medical sonographers,3322
Radiologic technologists and technicians,3323
Magnetic resonance imaging technologists,3324
Nuclear medicine technologists and medical dosimetrists,3330
Emergency medical technicians,3401
Paramedics,3402
Pharmacy technicians,3421
Psychiatric technicians,3422
Surgical technologists,3423
Veterinary technologists and technicians,3424
Dietetic technicians and ophthalmic medical technicians,3430
Licensed practical and licensed vocational nurses,3500
Medical records specialists,3515
"Opticians, dispensing",3520
Miscellaneous health technologists and technicians,3545
Other healthcare practitioners and technical occupations,3550
Home health aides,3601
Personal care aides,3602
Nursing assistants,3603
Orderlies and psychiatric aides,3605
Occupational therapy assistants and aides,3610
Physical therapist assistants and aides,3620
Massage therapists,3630
Dental assistants,3640
Medical assistants,3645
Medical transcriptionists,3646
Pharmacy aides,3647
Veterinary assistants and laboratory animal caretakers,3648
Phlebotomists,3649
Other healthcare support workers,3655
First-line supervisors of correctional officers,3700
First-line supervisors of police and detectives,3710
First-line supervisors of firefighting and prevention workers,3720
First-line supervisors of security workers,3725
"First-line supervisors of protective service workers, all other",3735
Firefighters,3740
Fire inspectors ,3750
Bailiffs,3801
Correctional officers and jailers,3802
Detectives and criminal investigators,3820
Fish and game wardens,3830
Parking enforcement workers,3840
Police officers,3870
Animal control workers,3900
Private detectives and investigators,3910
Security guards and gambling surveillance officers,3930
Crossing guards and flaggers,3940
Transportation security screeners,3945
School bus monitors,3946
Other protective service workers,3960
Chefs and head cooks,4000
First-line supervisors of food preparation and serving workers,4010
Cooks,4020
Food preparation workers,4030
Bartenders,4040
Fast food and counter workers,4055
Waiters and waitresses,4110
"Food servers, nonrestaurant",4120
Dining room and cafeteria attendants and bartender helpers,4130
Dishwashers,4140
"Hosts and hostesses, restaurant, lounge, and coffee shop",4150
"Food preparation and serving related workers, all other",4160
First-line supervisors of housekeeping and janitorial workers,4200
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",4210
Janitors and building cleaners,4220
Maids and housekeeping cleaners,4230
Pest control workers,4240
Landscaping and groundskeeping workers,4251
