name,year,commute_time,commuters,share
Connecticut,2000,Total,1570720,NA
Connecticut,2000,Up to 15 mins,475307,0.303
Connecticut,2000,16 to 30 mins,605681,0.386
Connecticut,2000,31 to 60 mins,372365,0.237
Connecticut,2000,61 to 120 mins,95972,0.061
Connecticut,2000,More than 120 mins,21395,0.014
Connecticut,2010,Total,1638069,NA
Connecticut,2010,Up to 15 mins,472424,0.288
Connecticut,2010,16 to 30 mins,633732,0.387
Connecticut,2010,31 to 60 mins,408231,0.249
Connecticut,2010,61 to 120 mins,109181,0.067
Connecticut,2010,More than 120 mins,14501,0.009
Connecticut,2018,Total,1667268,NA
Connecticut,2018,Up to 15 mins,438571,0.263
Connecticut,2018,16 to 30 mins,637844,0.383
Connecticut,2018,31 to 60 mins,438814,0.263
Connecticut,2018,61 to 120 mins,133721,0.08
Connecticut,2018,More than 120 mins,18318,0.011
Fairfield County,2000,Total,397518,NA
Fairfield County,2000,Up to 15 mins,114239,0.287
Fairfield County,2000,16 to 30 mins,139224,0.35
Fairfield County,2000,31 to 60 mins,92712,0.233
Fairfield County,2000,61 to 120 mins,44223,0.111
Fairfield County,2000,More than 120 mins,7120,0.018
Fairfield County,2010,Total,402359,NA
Fairfield County,2010,Up to 15 mins,110892,0.276
Fairfield County,2010,16 to 30 mins,142252,0.354
Fairfield County,2010,31 to 60 mins,96140,0.239
Fairfield County,2010,61 to 120 mins,48516,0.121
Fairfield County,2010,More than 120 mins,4559,0.011
Fairfield County,2018,Total,433176,NA
Fairfield County,2018,Up to 15 mins,108612,0.251
Fairfield County,2018,16 to 30 mins,147450,0.34
Fairfield County,2018,31 to 60 mins,106167,0.245
Fairfield County,2018,61 to 120 mins,63438,0.146
Fairfield County,2018,More than 120 mins,7509,0.017
Hartford County,2000,Total,393440,NA
Hartford County,2000,Up to 15 mins,121845,0.31
Hartford County,2000,16 to 30 mins,170426,0.433
Hartford County,2000,31 to 60 mins,85110,0.216
Hartford County,2000,61 to 120 mins,11881,0.03
Hartford County,2000,More than 120 mins,4178,0.011
Hartford County,2010,Total,411168,NA
Hartford County,2010,Up to 15 mins,121286,0.295
Hartford County,2010,16 to 30 mins,180338,0.439
Hartford County,2010,31 to 60 mins,93830,0.228
Hartford County,2010,61 to 120 mins,13090,0.032
Hartford County,2010,More than 120 mins,2624,0.006
Hartford County,2018,Total,417870,NA
Hartford County,2018,Up to 15 mins,111683,0.267
Hartford County,2018,16 to 30 mins,180695,0.432
Hartford County,2018,31 to 60 mins,105546,0.253
Hartford County,2018,61 to 120 mins,17111,0.041
Hartford County,2018,More than 120 mins,2835,0.007
Litchfield County,2000,Total,89099,NA
Litchfield County,2000,Up to 15 mins,28291,0.318
Litchfield County,2000,16 to 30 mins,28663,0.322
Litchfield County,2000,31 to 60 mins,23781,0.267
Litchfield County,2000,61 to 120 mins,6734,0.076
Litchfield County,2000,More than 120 mins,1630,0.018
Litchfield County,2010,Total,91850,NA
Litchfield County,2010,Up to 15 mins,27894,0.304
