name,year,tenure,commute_time,commuters,tenuer.x,tenuer.y,share
Connecticut,2000,Owner,Total,1139038,NA,NA,NA
Connecticut,2000,Owner,Up to 15 mins,333559,Owner,Owner,0.293
Connecticut,2000,Owner,16 to 30 mins,435949,Owner,Owner,0.383
Connecticut,2000,Owner,31 to 60 mins,279514,Owner,Owner,0.245
Connecticut,2000,Owner,61 to 120 mins,73737,Owner,Owner,0.065
Connecticut,2000,Owner,More than 120 mins,16279,Owner,Owner,0.014
Connecticut,2000,Renter,Total,431682,NA,NA,NA
Connecticut,2000,Renter,Up to 15 mins,141748,Renter,Renter,0.328
Connecticut,2000,Renter,16 to 30 mins,169732,Renter,Renter,0.393
Connecticut,2000,Renter,31 to 60 mins,92851,Renter,Renter,0.215
Connecticut,2000,Renter,61 to 120 mins,22235,Renter,Renter,0.052
Connecticut,2000,Renter,More than 120 mins,5116,Renter,Renter,0.012
Connecticut,2010,Owner,Total,1219940,NA,NA,NA
Connecticut,2010,Owner,Up to 15 mins,339326,Owner,Owner,0.278
Connecticut,2010,Owner,16 to 30 mins,466916,Owner,Owner,0.383
Connecticut,2010,Owner,31 to 60 mins,315551,Owner,Owner,0.259
Connecticut,2010,Owner,61 to 120 mins,86354,Owner,Owner,0.071
Connecticut,2010,Owner,More than 120 mins,11793,Owner,Owner,0.01
Connecticut,2010,Renter,Total,418129,NA,NA,NA
Connecticut,2010,Renter,Up to 15 mins,133098,Renter,Renter,0.318
Connecticut,2010,Renter,16 to 30 mins,166816,Renter,Renter,0.399
Connecticut,2010,Renter,31 to 60 mins,92680,Renter,Renter,0.222
Connecticut,2010,Renter,61 to 120 mins,22827,Renter,Renter,0.055
Connecticut,2010,Renter,More than 120 mins,2708,Renter,Renter,0.006
Connecticut,2018,Owner,Total,1179464,NA,NA,NA
Connecticut,2018,Owner,Up to 15 mins,297433,Owner,Owner,0.252
Connecticut,2018,Owner,16 to 30 mins,445470,Owner,Owner,0.378
Connecticut,2018,Owner,31 to 60 mins,325215,Owner,Owner,0.276
Connecticut,2018,Owner,61 to 120 mins,96569,Owner,Owner,0.082
Connecticut,2018,Owner,More than 120 mins,14777,Owner,Owner,0.013
Connecticut,2018,Renter,Total,487804,NA,NA,NA
Connecticut,2018,Renter,Up to 15 mins,141138,Renter,Renter,0.289
Connecticut,2018,Renter,16 to 30 mins,192374,Renter,Renter,0.394
Connecticut,2018,Renter,31 to 60 mins,113599,Renter,Renter,0.233
Connecticut,2018,Renter,61 to 120 mins,37152,Renter,Renter,0.076
Connecticut,2018,Renter,More than 120 mins,3541,Renter,Renter,0.007
Fairfield County,2000,Owner,Total,284472,NA,NA,NA
Fairfield County,2000,Owner,Up to 15 mins,77884,Owner,Owner,0.274
Fairfield County,2000,Owner,16 to 30 mins,98589,Owner,Owner,0.347
Fairfield County,2000,Owner,31 to 60 mins,67162,Owner,Owner,0.236
Fairfield County,2000,Owner,61 to 120 mins,35119,Owner,Owner,0.123
Fairfield County,2000,Owner,More than 120 mins,5718,Owner,Owner,0.02
Fairfield County,2000,Renter,Total,113046,NA,NA,NA
Fairfield County,2000,Renter,Up to 15 mins,36355,Renter,Renter,0.322
Fairfield County,2000,Renter,16 to 30 mins,40635,Renter,Renter,0.359
Fairfield County,2000,Renter,31 to 60 mins,25550,Renter,Renter,0.226
