name,race2,cost_burden,value,value_se,share,sharemoe
Connecticut,White,Total,996437,3345.7132395150697,NA,NA
Connecticut,White,No burden,683761,3189.7338828252296,0.686,0.002
Connecticut,White,Cost-burdened,171818,2037.8638461535277,0.172,0.002
Connecticut,White,Severely cost-burdened,140858,1899.266990528831,0.141,0.002
Connecticut,Black,Total,125094,2102.2513024331615,NA,NA
Connecticut,Black,No burden,61561,1457.3400305848916,0.492,0.008
Connecticut,Black,Cost-burdened,30516,1088.883650972563,0.244,0.008
Connecticut,Black,Severely cost-burdened,33017,1117.7045065050982,0.264,0.008
Connecticut,Latino,Total,170817,2463.7975053759437,NA,NA
Connecticut,Latino,No burden,83009,1733.055850241135,0.486,0.007
Connecticut,Latino,Cost-burdened,41316,1275.0834732634823,0.242,0.007
Connecticut,Latino,Severely cost-burdened,46492,1304.5385404014223,0.272,0.007
Connecticut,Other race,Total,75026,1509.958569144135,NA,NA
Connecticut,Other race,No burden,47968,1189.992594525988,0.639,0.009
Connecticut,Other race,Cost-burdened,12792,651.4144259578028,0.171,0.008
Connecticut,Other race,Severely cost-burdened,14266,693.888153469943,0.19,0.008
Fairfield County,White,Total,233262,2194.6126082974124,NA,NA
Fairfield County,White,No burden,154321,1783.3333760004396,0.662,0.004
Fairfield County,White,Cost-burdened,41058,1016.7715765245716,0.176,0.004
Fairfield County,White,Severely cost-burdened,37883,995.6445857295513,0.162,0.004
Fairfield County,Black,Total,33220,1085.8356034568053,NA,NA
Fairfield County,Black,No burden,15084,719.8481127202266,0.454,0.016
Fairfield County,Black,Cost-burdened,8257,547.702265901999,0.249,0.014
Fairfield County,Black,Severely cost-burdened,9879,609.0469651422128,0.297,0.016
Fairfield County,Latino,Total,52636,1340.2370803971157,NA,NA
Fairfield County,Latino,No burden,22759,847.3205499092064,0.432,0.012
Fairfield County,Latino,Cost-burdened,14584,748.9151992534414,0.277,0.012
Fairfield County,Latino,Severely cost-burdened,15293,736.8749899120468,0.291,0.012
Fairfield County,Other race,Total,21374,774.0342482103483,NA,NA
Fairfield County,Other race,No burden,13210,577.469958437324,0.618,0.015
Fairfield County,Other race,Cost-burdened,3688,338.05178356210786,0.173,0.015
Fairfield County,Other race,Severely cost-burdened,4476,393.5739854132633,0.209,0.017
Hartford County,White,Total,236013,2216.581882921768,NA,NA
Hartford County,White,No burden,168710,1890.776143583132,0.715,0.004
Hartford County,White,Cost-burdened,37298,962.3965070325263,0.158,0.004
Hartford County,White,Severely cost-burdened,30005,874.8054650139779,0.127,0.004
Hartford County,Black,Total,40863,1174.3247188142486,NA,NA
Hartford County,Black,No burden,21078,825.7143171643226,0.516,0.014
Hartford County,Black,Cost-burdened,10376,628.6024120867884,0.254,0.014
Hartford County,Black,Severely cost-burdened,9409,562.7342291777773,0.23,0.012
Hartford County,Latino,Total,50591,1323.1066404373278,NA,NA
Hartford County,Latino,No burden,25394,950.3372728402384,0.502,0.013
Hartford County,Latino,Cost-burdened,11018,621.1250745410947,0.218,0.011
Hartford County,Latino,Severely cost-burdened,14179,695.8597940722926,0.28,0.012
Hartford County,Other race,Total,21596,809.1913977036085,NA,NA
Hartford County,Other race,No burden,15007,675.4333713780695,0.695,0.017
Hartford County,Other race,Cost-burdened,3159,309.3170498526935,0.146,0.013
Hartford County,Other race,Severely cost-burdened,3430,325.5931469555521,0.159,0.014
Litchfield County,White,Total,68255,1254.3533563601418,NA,NA
Litchfield County,White,No burden,47231,1036.4227415925873,0.692,0.008
Litchfield County,White,Cost-burdened,12095,549.2446257865996,0.177,0.007
Litchfield County,White,Severely cost-burdened,8929,478.2710705470242,0.131,0.007
Litchfield County,Black,Total,903,154.04476282643154,NA,NA
Litchfield County,Black,No burden,599,115.21331069073231,0.663,0.059
Litchfield County,Black,Cost-burdened,195,92.12264490134804,0.216,0.095
Litchfield County,Black,Severely cost-burdened,109,44.43939376495378,0.121,0.045
