level,geoid,name,year,minc,x30,x50,x80,x120
1_state,09,Connecticut,2007,68476,20543,34238,54781,82171
2_counties,09001,Fairfield County,2007,83000,24900,41500,66400,99600
2_counties,09003,Hartford County,2007,63700,19110,31850,50960,76440
2_counties,09005,Litchfield County,2007,71300,21390,35650,57040,85560
2_counties,09007,Middlesex County,2007,72500,21750,36250,58000,87000
2_counties,09009,New Haven County,2007,60994,18298,30497,48795,73193
2_counties,09011,New London County,2007,65000,19500,32500,52000,78000
2_counties,09013,Tolland County,2007,77038,23111,38519,61630,92446
2_counties,09015,Windham County,2007,57902,17371,28951,46322,69482
1_state,09,Connecticut,2011,69243,20773,34622,55394,83092
2_counties,09001,Fairfield County,2011,82558,24767,41279,66046,99070
2_counties,09003,Hartford County,2011,64007,19202,32004,51206,76808
2_counties,09005,Litchfield County,2011,71497,21449,35748,57198,85796
2_counties,09007,Middlesex County,2011,77095,23128,38548,61676,92514
2_counties,09009,New Haven County,2011,62497,18749,31248,49998,74996
2_counties,09011,New London County,2011,67010,20103,33505,53608,80412
2_counties,09013,Tolland County,2011,80333,24100,40166,64266,96400
2_counties,09015,Windham County,2011,60063,18019,30032,48050,72076
1_state,09,Connecticut,2014,69899,20970,34950,55919,83879
2_counties,09001,Fairfield County,2014,83163,24949,41582,66530,99796
2_counties,09003,Hartford County,2014,65499,19650,32750,52399,78599
2_counties,09005,Litchfield County,2014,72068,21620,36034,57654,86482
2_counties,09007,Middlesex County,2014,77931,23379,38966,62345,93517
2_counties,09009,New Haven County,2014,61646,18494,30823,49317,73975
2_counties,09011,New London County,2014,66693,20008,33346,53354,80032
2_counties,09013,Tolland County,2014,79988,23996,39994,63990,95986
2_counties,09015,Windham County,2014,59218,17765,29609,47374,71062
1_state,09,Connecticut,2018,76106,22832,38053,60885,91327
2_counties,09001,Fairfield County,2018,92969,27891,46484,74375,111563
2_counties,09003,Hartford County,2018,72321,21696,36160,57857,86785
2_counties,09005,Litchfield County,2018,78314,23494,39157,62651,93977
2_counties,09007,Middlesex County,2018,84761,25428,42380,67809,101713
2_counties,09009,New Haven County,2018,67128,20138,33564,53702,80554
2_counties,09011,New London County,2018,71368,21410,35684,57094,85642
2_counties,09013,Tolland County,2018,84916,25475,42458,67933,101899
2_counties,09015,Windham County,2018,64774,19432,32387,51819,77729
