name,age_band,inc_band,value,value_se,share,sharemoe
Connecticut,Under 35,Total,210306,2587.1530904861856,NA,NA
Connecticut,Under 35,Very low,35369,1137.2907560041194,0.168,0.005
Connecticut,Under 35,Low,27134,1015.0263181072606,0.129,0.005
Connecticut,Under 35,Mid-low,40040,1224.7318679644943,0.19,0.005
Connecticut,Under 35,Mid-high,42483,1204.0122534503919,0.202,0.005
Connecticut,Under 35,High,65280,1381.8906740097345,0.31,0.005
Connecticut,35-64,Total,823796,3767.3612114588777,NA,NA
Connecticut,35-64,Very low,95107,1734.1930786622222,0.115,0.002
Connecticut,35-64,Low,67253,1470.2610152065765,0.082,0.002
Connecticut,35-64,Mid-low,111941,1886.5337810528251,0.136,0.002
Connecticut,35-64,Mid-high,135156,1943.1481347642293,0.164,0.002
Connecticut,35-64,High,414339,2870.549396079003,0.503,0.003
Connecticut,65 and up,Total,333272,2458.1678881321172,NA,NA
Connecticut,65 and up,Very low,70901,1351.6041283358413,0.213,0.004
Connecticut,65 and up,Low,56958,1138.874331439574,0.171,0.003
Connecticut,65 and up,Mid-low,62509,1166.4576939654737,0.188,0.003
Connecticut,65 and up,Mid-high,54197,1035.6874967971196,0.163,0.003
Connecticut,65 and up,High,88707,1316.3786821285753,0.266,0.003
Fairfield County,Under 35,Total,44916,1213.540931353275,NA,NA
Fairfield County,Under 35,Very low,7972,534.7878765736313,0.177,0.011
Fairfield County,Under 35,Low,6495,484.15383218009447,0.145,0.01
Fairfield County,Under 35,Mid-low,7600,511.17879005912664,0.169,0.01
Fairfield County,Under 35,Mid-high,8168,534.9367041131778,0.182,0.011
Fairfield County,Under 35,High,14681,653.5096646205363,0.327,0.012
Fairfield County,35-64,Total,214239,2273.494059418276,NA,NA
Fairfield County,35-64,Very low,26072,919.4498233937136,0.122,0.004
Fairfield County,35-64,Low,19129,800.6199272542755,0.089,0.004
Fairfield County,35-64,Mid-low,29400,957.2161144693299,0.137,0.004
Fairfield County,35-64,Mid-high,33612,966.7649674284153,0.157,0.004
Fairfield County,35-64,High,106026,1509.7139229526867,0.495,0.005
Fairfield County,65 and up,Total,81337,1344.953137397505,NA,NA
Fairfield County,65 and up,Very low,21207,787.0559098405216,0.261,0.009
Fairfield County,65 and up,Low,12596,536.6891934859534,0.155,0.006
Fairfield County,65 and up,Mid-low,14287,548.5058983653803,0.176,0.006
Fairfield County,65 and up,Mid-high,11753,493.63785902620293,0.144,0.006
Fairfield County,65 and up,High,21494,656.1644483038542,0.264,0.007
Hartford County,Under 35,Total,58119,1361.8295243876883,NA,NA
Hartford County,Under 35,Very low,9101,551.4293861126475,0.157,0.009
Hartford County,Under 35,Low,7184,516.6768121530087,0.124,0.008
Hartford County,Under 35,Mid-low,11493,651.8653938245842,0.198,0.01
Hartford County,Under 35,Mid-high,12081,632.5803084791653,0.208,0.01
Hartford County,Under 35,High,18260,704.0847389984992,0.314,0.01
Hartford County,35-64,Total,206259,2271.723956062408,NA,NA
Hartford County,35-64,Very low,25250,893.9221061770604,0.122,0.004
Hartford County,35-64,Low,15209,663.8807015852132,0.074,0.003
Hartford County,35-64,Mid-low,28243,954.0251824527456,0.137,0.004
Hartford County,35-64,Mid-high,32389,955.0572005540761,0.157,0.004
Hartford County,35-64,High,105168,1583.026656051035,0.51,0.005
Hartford County,65 and up,Total,84685,1336.3469937183322,NA,NA
Hartford County,65 and up,Very low,18549,681.003101339118,0.219,0.007
Hartford County,65 and up,Low,14982,582.9118350184383,0.177,0.006
Hartford County,65 and up,Mid-low,15816,577.2593691231879,0.187,0.006
Hartford County,65 and up,Mid-high,13144,508.20775214211363,0.155,0.005
Hartford County,65 and up,High,22194,686.5211514760748,0.262,0.007
Litchfield County,Under 35,Total,8066,496.7576557229619,NA,NA
Litchfield County,Under 35,Very low,903,179.74957707372033,0.112,0.021
Litchfield County,Under 35,Low,1077,190.9950018122733,0.134,0.022
Litchfield County,Under 35,Mid-low,1653,222.24087275457455,0.205,0.024
Litchfield County,Under 35,Mid-high,2057,246.0689706723846,0.255,0.026
Litchfield County,Under 35,High,2376,262.20798787142377,0.295,0.027
Litchfield County,35-64,Total,45544,1070.505716761249,NA,NA
Litchfield County,35-64,Very low,4040,336.4854701159245,0.089,0.007
Litchfield County,35-64,Low,3741,327.52150062362256,0.082,0.007
Litchfield County,35-64,Mid-low,6427,418.88249166729537,0.141,0.009
Litchfield County,35-64,Mid-high,8740,471.8828468105375,0.192,0.009
Litchfield County,35-64,High,22596,739.8657920101399,0.496,0.011
Litchfield County,65 and up,Total,20377,631.8185280111267,NA,NA
Litchfield County,65 and up,Very low,3755,273.10874104711223,0.184,0.012
Litchfield County,65 and up,Low,3837,296.9002535781568,0.188,0.013
Litchfield County,65 and up,Mid-low,3819,280.3276237179344,0.187,0.012
Litchfield County,65 and up,Mid-high,3848,268.16661526112375,0.189,0.012
Litchfield County,65 and up,High,5118,301.07199958567145,0.251,0.013
Middlesex County,Under 35,Total,9081,546.9675017832777,NA,NA
Middlesex County,Under 35,Very low,1476,262.14904568825006,0.163,0.027
Middlesex County,Under 35,Low,824,155.024918271389,0.091,0.016
Middlesex County,Under 35,Mid-low,2144,278.5857214936423,0.236,0.027
Middlesex County,Under 35,Mid-high,1797,225.28202228178418,0.198,0.022
Middlesex County,Under 35,High,2840,280.9962640377653,0.313,0.025
Middlesex County,35-64,Total,40586,1089.9836396033897,NA,NA
Middlesex County,35-64,Very low,4430,373.16224598531176,0.109,0.009
Middlesex County,35-64,Low,3564,374.41969718097,0.088,0.009
Middlesex County,35-64,Mid-low,4951,416.1638260505738,0.122,0.01
Middlesex County,35-64,Mid-high,7302,448.1961471024765,0.18,0.01
Middlesex County,35-64,High,20339,741.9303906670585,0.501,0.012
Middlesex County,65 and up,Total,17226,631.238107663161,NA,NA
Middlesex County,65 and up,Very low,3560,289.12577142850625,0.207,0.015
Middlesex County,65 and up,Low,3179,266.2196292807111,0.185,0.014
Middlesex County,65 and up,Mid-low,3585,305.31675105304515,0.208,0.016
Middlesex County,65 and up,Mid-high,2976,258.633966114999,0.173,0.014
Middlesex County,65 and up,High,3926,295.36242766455763,0.228,0.015
New Haven County,Under 35,Total,53996,1377.9198985181536,NA,NA
New Haven County,Under 35,Very low,10486,618.5259229454787,0.194,0.01
New Haven County,Under 35,Low,7064,528.1849208087397,0.131,0.009
New Haven County,Under 35,Mid-low,10342,659.2795516411056,0.192,0.011
New Haven County,Under 35,Mid-high,9613,579.4248274643359,0.178,0.01
New Haven County,Under 35,High,16491,706.4537590088156,0.305,0.011
New Haven County,35-64,Total,195188,2397.251528209621,NA,NA
New Haven County,35-64,Very low,22171,862.2810424890877,0.114,0.004
New Haven County,35-64,Low,16057,738.5726830462737,0.082,0.004
New Haven County,35-64,Mid-low,26405,990.28754943204,0.135,0.005
New Haven County,35-64,Mid-high,30896,1030.3190654039836,0.158,0.005
New Haven County,35-64,High,99659,1667.4650064864545,0.511,0.006
New Haven County,65 and up,Total,80672,1353.633603755776,NA,NA
New Haven County,65 and up,Very low,14503,623.3585645131145,0.18,0.007
New Haven County,65 and up,Low,14391,606.9855367323834,0.178,0.007
New Haven County,65 and up,Mid-low,15660,615.2012309454523,0.194,0.007
New Haven County,65 and up,Mid-high,12901,516.0890023199133,0.16,0.006
New Haven County,65 and up,High,23217,709.4243328359036,0.288,0.007
New London County,Under 35,Total,18439,826.5276448507145,NA,NA
New London County,Under 35,Very low,2173,289.460392502356,0.118,0.015
New London County,Under 35,Low,1895,278.82117575392635,0.103,0.014
New London County,Under 35,Mid-low,4015,403.72147337861855,0.218,0.02
