year,name,inc_band,value,value_se
2000,Connecticut,Very low,171619,NA
2000,Connecticut,Low,141926,NA
2000,Connecticut,Mid-low,212422,NA
2000,Connecticut,Mid-high,243881,NA
2000,Connecticut,High,531984,NA
2000,Fairfield County,Very low,45193,1007.167559538824
2000,Fairfield County,Low,35481,895.7792891394844
2000,Fairfield County,Mid-low,53066,1086.7307275722806
2000,Fairfield County,Mid-high,55722,1109.762963893007
2000,Fairfield County,High,135125,1681.824683878578
2000,Hartford County,Very low,44356,956.6667702638532
2000,Hartford County,Low,36725,877.365029165115
2000,Hartford County,Mid-low,54941,1070.4544825373937
2000,Hartford County,Mid-high,61899,1133.659734981294
2000,Hartford County,High,137541,1664.7596078430086
2000,Litchfield County,Very low,8402,415.68479152582506
2000,Litchfield County,Low,7932,403.7540295245336
2000,Litchfield County,Mid-low,12312,500.554103538633
2000,Litchfield County,Mid-high,15003,541.4336464603996
2000,Litchfield County,High,28331,756.2692508278677
2000,Middlesex County,Very low,6599,379.3479739847271
2000,Middlesex County,Low,6797,388.33742607435124
2000,Middlesex County,Mid-low,10432,480.8568212773364
2000,Middlesex County,Mid-high,13004,538.4041113482999
2000,Middlesex County,High,24019,733.5272296743314
2000,New Haven County,Very low,45019,1024.6567127815838
2000,New Haven County,Low,35162,896.4505966728892
2000,New Haven County,Mid-low,48803,1056.1575007471163
2000,New Haven County,Mid-high,58063,1147.9814787204778
2000,New Haven County,High,131430,1702.084315215381
2000,New London County,Very low,11424,498.01145218573856
2000,New London County,Low,10740,479.1799307012301
2000,New London County,Mid-low,16854,595.9928835183223
2000,New London County,Mid-high,21563,678.3236134154272
2000,New London County,High,39150,890.1108312667781
2000,Tolland County,Very low,5487,343.7185482240822
2000,Tolland County,Low,4506,306.70707802858055
2000,Tolland County,Mid-low,9374,453.7836125524438
2000,Tolland County,Mid-high,10424,472.30081316721555
2000,Tolland County,High,19679,633.2458949767139
2000,Windham County,Very low,5139,327.82382465624613
2000,Windham County,Low,4583,313.58385210689727
2000,Windham County,Mid-low,6640,374.60808211447096
2000,Windham County,Mid-high,8203,408.96817452320823
2000,Windham County,High,16709,580.0036285070012
2010,Connecticut,Very low,190632,NA
2010,Connecticut,Low,150279,NA
2010,Connecticut,Mid-low,216872,NA
2010,Connecticut,Mid-high,243872,NA
2010,Connecticut,High,557564,NA
2010,Fairfield County,Very low,49991,1235.5230021068087
2010,Fairfield County,Low,35949,1033.656839885524
2010,Fairfield County,Mid-low,52238,1247.3979406392418
2010,Fairfield County,Mid-high,55645,1244.0941642613013
2010,Fairfield County,High,137960,1786.083272143987
2010,Hartford County,Very low,50196,1208.743726255194
2010,Hartford County,Low,38509,1050.1814544097565
2010,Hartford County,Mid-low,54475,1252.1142297274935
2010,Hartford County,Mid-high,60599,1269.3786857352902
2010,Hartford County,High,143846,1796.2626027711326
2010,Litchfield County,Very low,9748,519.4332762602162
2010,Litchfield County,Low,7825,436.01225717399683
2010,Litchfield County,Mid-low,13612,606.4472623827319
2010,Litchfield County,Mid-high,14853,599.4819460162355
2010,Litchfield County,High,30650,837.8952034940608
2010,Middlesex County,Very low,8482,503.1377917530833
2010,Middlesex County,Low,6811,421.12605612535947
2010,Middlesex County,Mid-low,11380,558.5755301150547
2010,Middlesex County,Mid-high,13823,629.6150662063034
2010,Middlesex County,High,26480,814.216461899395
2010,New Haven County,Very low,48129,1193.5424006787064
2010,New Haven County,Low,39537,1089.7712614482393
2010,New Haven County,Mid-low,49100,1198.9074760967483
2010,New Haven County,Mid-high,56576,1260.631150633675
2010,New Haven County,High,137441,1865.9454466858424
2010,New London County,Very low,11770,560.8301988367701
2010,New London County,Low,10808,554.6734413374448
2010,New London County,Mid-low,19134,758.9806297991091
2010,New London County,Mid-high,21686,744.5175533178026
2010,New London County,High,43192,1035.7490547198713
2010,Tolland County,Very low,6197,429.7420434091916
2010,Tolland County,Low,5832,403.8274081459824
2010,Tolland County,Mid-low,9481,516.3264508692381
2010,Tolland County,Mid-high,11905,550.9209001977952
2010,Tolland County,High,21038,696.9213386283911
2010,Windham County,Very low,6119,440.1465243471952
2010,Windham County,Low,5008,369.6702569542135
2010,Windham County,Mid-low,7452,452.9388592844957
2010,Windham County,Mid-high,8785,492.3769046891068
2010,Windham County,High,16957,637.0429695603835
2018,Connecticut,Very low,201377,NA
2018,Connecticut,Low,151345,NA
2018,Connecticut,Mid-low,214490,NA
2018,Connecticut,Mid-high,231836,NA
2018,Connecticut,High,568326,NA
2018,Fairfield County,Very low,55251,1323.9345996193267
2018,Fairfield County,Low,38220,1079.0313978073966
2018,Fairfield County,Mid-low,51287,1217.1710665011267
2018,Fairfield County,Mid-high,53533,1212.167808035262
2018,Fairfield County,High,142201,1790.7534327656294
2018,Hartford County,Very low,52900,1252.3256498218655
2018,Hartford County,Low,37375,1023.6343906705613
2018,Hartford County,Mid-low,55552,1292.2586527814606
2018,Hartford County,Mid-high,57614,1254.4718239820288
2018,Hartford County,High,145622,1880.8711864604456
2018,Litchfield County,Very low,8698,469.2455018021399
2018,Litchfield County,Low,8655,481.6160764580557
2018,Litchfield County,Mid-low,11899,550.974170499397
2018,Litchfield County,Mid-high,14645,596.1850128897
