"hhwt","name","minc","inc_band","hcost","cost_band"
16,"Fairfield County",95645,"Mid-high",4208,"High"
11,"New London County",73490,"Mid-high",2169,"Mid-high"
21,"New London County",73490,"Mid-high",551,"Very low"
19,"New Haven County",69905,"High",6607,"High"
24,"New Haven County",69905,"High",1176,"Mid-low"
15,"Fairfield County",95645,"High",4908,"High"
7,"New London County",73490,"High",4140,"High"
16,"Hartford County",75148,"High",1853,"Mid-high"
6,"New London County",73490,"Low",6546,"High"
12,"Hartford County",75148,"Mid-low",767,"Low"
8,"Fairfield County",95645,"Mid-high",1320,"Mid-low"
14,"Tolland County",87069,"Mid-low",2315,"Mid-high"
18,"New Haven County",69905,"Low",808,"Low"
26,"Litchfield County",79906,"High",1679,"Mid-high"
11,"Hartford County",75148,"High",2372,"High"
19,"New London County",73490,"High",1746,"Mid-high"
14,"Litchfield County",79906,"Mid-low",2638,"High"
12,"Fairfield County",95645,"Mid-high",2204,"Mid-high"
49,"Fairfield County",95645,"Mid-high",3456,"High"
3,"Tolland County",87069,"High",1661,"Mid-low"
39,"New Haven County",69905,"Mid-high",2825,"High"
12,"Hartford County",75148,"High",942,"Mid-low"
12,"Hartford County",75148,"Mid-low",3354,"High"
24,"Fairfield County",95645,"High",5493,"High"
21,"Middlesex County",85898,"High",2860,"High"
27,"Tolland County",87069,"Mid-high",655,"Low"
13,"Hartford County",75148,"Mid-low",1945,"Mid-high"
18,"Hartford County",75148,"High",6234,"High"
54,"New Haven County",69905,"Mid-low",2029,"Mid-high"
13,"New Haven County",69905,"High",1720,"Mid-high"
12,"Hartford County",75148,"High",726,"Low"
22,"New London County",73490,"Mid-low",1436,"Mid-low"
16,"Windham County",66550,"Mid-high",1254,"Mid-low"
15,"Fairfield County",95645,"High",2677,"Mid-high"
12,"Hartford County",75148,"Mid-high",876,"Low"
18,"Hartford County",75148,"Mid-high",1140,"Mid-low"
13,"Fairfield County",95645,"Mid-high",1772,"Mid-low"
22,"New London County",73490,"High",2341,"High"
80,"New London County",73490,"Mid-low",588,"Low"
27,"Hartford County",75148,"High",2227,"Mid-high"
10,"Litchfield County",79906,"High",2455,"High"
13,"Hartford County",75148,"Mid-high",1701,"Mid-high"
23,"New Haven County",69905,"Mid-high",2090,"Mid-high"
23,"Litchfield County",79906,"High",1769,"Mid-high"
18,"New Haven County",69905,"Mid-high",2077,"Mid-high"
10,"Windham County",66550,"High",707,"Low"
11,"Tolland County",87069,"Mid-low",781,"Low"
2,"Middlesex County",85898,"High",3010,"High"
8,"Fairfield County",95645,"Low",433,"Very low"
4,"Litchfield County",79906,"High",3864,"High"
6,"New London County",73490,"High",1805,"Mid-high"
40,"New Haven County",69905,"Mid-low",1089,"Mid-low"
15,"Hartford County",75148,"Mid-high",1400,"Mid-low"
8,"Fairfield County",95645,"Mid-low",4215,"High"
10,"Fairfield County",95645,"Mid-high",2669,"Mid-high"
23,"New Haven County",69905,"High",1331,"Mid-low"
61,"Fairfield County",95645,"Mid-low",1947,"Mid-high"
5,"Fairfield County",95645,"Very low",3050,"High"
14,"Middlesex County",85898,"Low",582,"Very low"
14,"Fairfield County",95645,"Mid-low",1253,"Mid-low"
14,"Fairfield County",95645,"Low",646,"Very low"
21,"New Haven County",69905,"Mid-low",446,"Very low"
12,"Hartford County",75148,"High",1999,"Mid-high"
10,"New Haven County",69905,"Low",708,"Low"
22,"Fairfield County",95645,"Very low",1088,"Low"
6,"Hartford County",75148,"High",1517,"Mid-high"
16,"Fairfield County",95645,"Mid-high",2077,"Mid-high"
21,"New Haven County",69905,"High",1699,"Mid-high"
12,"Tolland County",87069,"High",665,"Low"
16,"Hartford County",75148,"Mid-high",1227,"Mid-low"
24,"New Haven County",69905,"High",2188,"High"
14,"New London County",73490,"High",4593,"High"
23,"Fairfield County",95645,"Mid-high",2246,"Mid-high"
12,"New London County",73490,"High",629,"Low"
20,"Hartford County",75148,"High",2978,"High"
12,"Fairfield County",95645,"High",3983,"High"
13,"New London County",73490,"High",1636,"Mid-high"
5,"Windham County",66550,"High",1864,"Mid-high"
13,"Hartford County",75148,"Mid-low",566,"Low"
13,"Fairfield County",95645,"Mid-high",2086,"Mid-high"
15,"Hartford County",75148,"High",1931,"Mid-high"
20,"New Haven County",69905,"Very low",836,"Low"
12,"Fairfield County",95645,"High",3451,"High"
48,"Tolland County",87069,"High",4273,"High"
14,"New Haven County",69905,"High",2256,"High"
13,"Middlesex County",85898,"Mid-high",2017,"Mid-high"
12,"New Haven County",69905,"High",2111,"High"
9,"New Haven County",69905,"High",805,"Low"
26,"Fairfield County",95645,"Mid-high",1074,"Low"
14,"Fairfield County",95645,"High",2967,"High"
13,"Hartford County",75148,"High",2261,"High"
19,"New Haven County",69905,"Mid-high",2077,"Mid-high"
13,"Litchfield County",79906,"High",2557,"High"
12,"Hartford County",75148,"High",3351,"High"
13,"Fairfield County",95645,"Mid-low",2648,"Mid-high"
16,"New Haven County",69905,"Mid-high",202,"Very low"
15,"Fairfield County",95645,"Mid-low",1120,"Low"
13,"Fairfield County",95645,"Low",1581,"Mid-low"
13,"Hartford County",75148,"High",413,"Very low"
20,"Litchfield County",79906,"Mid-low",1406,"Mid-low"
13,"Hartford County",75148,"High",4127,"High"
13,"Middlesex County",85898,"Mid-high",1659,"Mid-low"
16,"Fairfield County",95645,"High",2281,"Mid-high"
11,"Hartford County",75148,"High",41,"Very low"
13,"Fairfield County",95645,"High",1569,"Mid-low"
11,"New Haven County",69905,"High",865,"Low"
26,"Fairfield County",95645,"High",669,"Very low"
24,"Hartford County",75148,"High",5908,"High"
10,"Fairfield County",95645,"High",3624,"High"
56,"New Haven County",69905,"High",2396,"High"
25,"Litchfield County",79906,"Mid-high",532,"Very low"
13,"Hartford County",75148,"High",2804,"High"
13,"New London County",73490,"Mid-low",837,"Low"
14,"Litchfield County",79906,"High",2072,"Mid-high"
21,"Hartford County",75148,"Mid-high",495,"Very low"
10,"Hartford County",75148,"High",826,"Low"
12,"New London County",73490,"Mid-low",821,"Low"
9,"New Haven County",69905,"Mid-high",2229,"High"
10,"New Haven County",69905,"High",3620,"High"
13,"Hartford County",75148,"High",1047,"Mid-low"
12,"Hartford County",75148,"Very low",779,"Low"
