"level","name","inc_band","cost_burden","value","value_se","statefip.x","statefip.y","share","sharemoe"
"1_state","Connecticut","Very low","Total",208730,2436.79470104941,NA,NA,NA,NA
"1_state","Connecticut","Very low","No burden",29601,962.111159663512,9,9,0.142,0.004
"1_state","Connecticut","Very low","Cost-burdened",33506,995.816277676599,9,9,0.161,0.004
"1_state","Connecticut","Very low","Severely cost-burdened",145623,2075.82055635192,9,9,0.698,0.006
"1_state","Connecticut","Low","Total",156805,2107.07084507983,NA,NA,NA,NA
"1_state","Connecticut","Low","No burden",39386,1013.6503589098,9,9,0.251,0.006
"1_state","Connecticut","Low","Cost-burdened",64752,1410.86258637617,9,9,0.413,0.007
"1_state","Connecticut","Low","Severely cost-burdened",52667,1284.25002375134,9,9,0.336,0.007
"1_state","Connecticut","Mid-low","Total",217599,2460.73127019739,NA,NA,NA,NA
"1_state","Connecticut","Mid-low","No burden",112667,1779.29113830868,9,9,0.518,0.006
"1_state","Connecticut","Mid-low","Cost-burdened",80034,1596.51245636774,9,9,0.368,0.006
"1_state","Connecticut","Mid-low","Severely cost-burdened",24898,855.422557111907,9,9,0.114,0.004
"1_state","Connecticut","Mid-high","Total",237507,2451.25001689085,NA,NA,NA,NA
"1_state","Connecticut","Mid-high","No burden",180110,2166.02168898804,9,9,0.758,0.005
"1_state","Connecticut","Mid-high","Cost-burdened",49721,1183.7762014016,9,9,0.209,0.004
"1_state","Connecticut","Mid-high","Severely cost-burdened",7676,468.244294384362,9,9,0.032,0.002
"1_state","Connecticut","High","Total",546733,3103.14086360021,NA,NA,NA,NA
"1_state","Connecticut","High","No burden",514535,3047.80397730947,9,9,0.941,0.002
"1_state","Connecticut","High","Cost-burdened",28429,837.660924435465,9,9,0.052,0.002
"1_state","Connecticut","High","Severely cost-burdened",3769,333.096694268353,9,9,0.007,0.001
"2_counties","Fairfield County","Very low","Total",56984,1332.46447071934,NA,NA,NA,NA
"2_counties","Fairfield County","Very low","No burden",6951,465.44371797952,NA,NA,0.122,0.008
"2_counties","Fairfield County","Very low","Cost-burdened",9955,579.158317407839,NA,NA,0.175,0.009
"2_counties","Fairfield County","Very low","Severely cost-burdened",40078,1115.59375139952,NA,NA,0.703,0.011
"2_counties","Fairfield County","Low","Total",40088,1100.14525452642,NA,NA,NA,NA
"2_counties","Fairfield County","Low","No burden",9711,500.348982154682,NA,NA,0.242,0.011
"2_counties","Fairfield County","Low","Cost-burdened",15374,701.779067234991,NA,NA,0.384,0.014
"2_counties","Fairfield County","Low","Severely cost-burdened",15003,694.524520401589,NA,NA,0.374,0.014
"2_counties","Fairfield County","Mid-low","Total",50351,1186.12452229184,NA,NA,NA,NA
"2_counties","Fairfield County","Mid-low","No burden",23714,791.78742824477,NA,NA,0.471,0.011
"2_counties","Fairfield County","Mid-low","Cost-burdened",18958,770.432882085939,NA,NA,0.377,0.012
"2_counties","Fairfield County","Mid-low","Severely cost-burdened",7679,456.520441339017,NA,NA,0.153,0.008
"2_counties","Fairfield County","Mid-high","Total",53938,1207.95350642045,NA,NA,NA,NA
"2_counties","Fairfield County","Mid-high","No burden",37048,1005.57020896757,NA,NA,0.687,0.011
"2_counties","Fairfield County","Mid-high","Cost-burdened",13596,617.784516446007,NA,NA,0.252,0.01
"2_counties","Fairfield County","Mid-high","Severely cost-burdened",3294,292.084840518609,NA,NA,0.061,0.005
"2_counties","Fairfield County","High","Total",139131,1717.78877531551,NA,NA,NA,NA
"2_counties","Fairfield County","High","No burden",127950,1653.42630111743,NA,NA,0.92,0.004
"2_counties","Fairfield County","High","Cost-burdened",9704,469.109368518435,NA,NA,0.07,0.003
"2_counties","Fairfield County","High","Severely cost-burdened",1477,194.526715446072,NA,NA,0.011,0.001
"2_counties","Hartford County","Very low","Total",55051,1261.97731947603,NA,NA,NA,NA
"2_counties","Hartford County","Very low","No burden",8481,503.322975015206,NA,NA,0.154,0.008
"2_counties","Hartford County","Very low","Cost-burdened",8262,470.923024397922,NA,NA,0.15,0.008
"2_counties","Hartford County","Very low","Severely cost-burdened",38308,1066.59957823542,NA,NA,0.696,0.011
"2_counties","Hartford County","Low","Total",39071,1041.15264351205,NA,NA,NA,NA
"2_counties","Hartford County","Low","No burden",9961,499.343013798619,NA,NA,0.255,0.011
"2_counties","Hartford County","Low","Cost-burdened",17061,703.219754544698,NA,NA,0.437,0.014
"2_counties","Hartford County","Low","Severely cost-burdened",12049,595.123625897272,NA,NA,0.308,0.013
"2_counties","Hartford County","Mid-low","Total",56021,1280.41622312224,NA,NA,NA,NA
"2_counties","Hartford County","Mid-low","No burden",30227,922.746155123895,NA,NA,0.54,0.011
"2_counties","Hartford County","Mid-low","Cost-burdened",20806,826.665280134584,NA,NA,0.371,0.012
"2_counties","Hartford County","Mid-low","Severely cost-burdened",4988,360.071528844041,NA,NA,0.089,0.006
"2_counties","Hartford County","Mid-high","Total",61014,1284.04895469189,NA,NA,NA,NA
"2_counties","Hartford County","Mid-high","No burden",49803,1170.6511389565,NA,NA,0.816,0.009
"2_counties","Hartford County","Mid-high","Cost-burdened",10239,523.683372849276,NA,NA,0.168,0.008
"2_counties","Hartford County","Mid-high","Severely cost-burdened",972,142.158035308106,NA,NA,0.016,0.002
"2_counties","Hartford County","High","Total",137906,1776.83315326761,NA,NA,NA,NA
"2_counties","Hartford County","High","No burden",131717,1736.99097519729,NA,NA,0.955,0.003
"2_counties","Hartford County","High","Cost-burdened",5483,372.654313577574,NA,NA,0.04,0.003
"2_counties","Hartford County","High","Severely cost-burdened",706,155.965656708054,NA,NA,0.005,0.001
"2_counties","Litchfield County","Very low","Total",8847,471.034777177546,NA,NA,NA,NA
"2_counties","Litchfield County","Very low","No burden",1025,142.437387311228,NA,NA,0.116,0.015
"2_counties","Litchfield County","Very low","Cost-burdened",1960,219.066835295249,NA,NA,0.222,0.022
"2_counties","Litchfield County","Very low","Severely cost-burdened",5862,392.616306986326,NA,NA,0.663,0.027
"2_counties","Litchfield County","Low","Total",8733,483.562106863403,NA,NA,NA,NA
"2_counties","Litchfield County","Low","No burden",2562,237.785301197143,NA,NA,0.293,0.022
"2_counties","Litchfield County","Low","Cost-burdened",3722,330.068727831294,NA,NA,0.426,0.03
"2_counties","Litchfield County","Low","Severely cost-burdened",2449,262.775655705828,NA,NA,0.28,0.026
"2_counties","Litchfield County","Mid-low","Total",12626,568.6519810723,NA,NA,NA,NA
"2_counties","Litchfield County","Mid-low","No burden",7940,451.06553260816,NA,NA,0.629,0.022
"2_counties","Litchfield County","Mid-low","Cost-burdened",3590,304.707737320416,NA,NA,0.284,0.02
"2_counties","Litchfield County","Mid-low","Severely cost-burdened",1096,167.998181949708,NA,NA,0.087,0.013
"2_counties","Litchfield County","Mid-high","Total",14651,589.454167400003,NA,NA,NA,NA
"2_counties","Litchfield County","Mid-high","No burden",11769,532.555698366493,NA,NA,0.803,0.017
