"level","name","inc_band","value","value_se","statefip.x","statefip.y","share","sharemoe"
"1_state","Connecticut","Total",1367374,3501.58138434316,NA,NA,NA,NA
"1_state","Connecticut","Very low",208730,2436.79470104941,NA,9,0.153,0.002
"1_state","Connecticut","Low",156805,2107.07084507983,NA,9,0.115,0.002
"1_state","Connecticut","Mid-low",217599,2460.73127019739,NA,9,0.159,0.002
"1_state","Connecticut","Mid-high",237507,2451.25001689085,NA,9,0.174,0.002
"1_state","Connecticut","High",546733,3103.14086360021,NA,9,0.4,0.002
"2_counties","Fairfield County","Total",340492,2753.32624602998,NA,NA,NA,NA
"2_counties","Fairfield County","Very low",56984,1332.46447071934,NA,NA,0.167,0.004
"2_counties","Fairfield County","Low",40088,1100.14525452642,NA,NA,0.118,0.003
"2_counties","Fairfield County","Mid-low",50351,1186.12452229184,NA,NA,0.148,0.003
"2_counties","Fairfield County","Mid-high",53938,1207.95350642045,NA,NA,0.158,0.003
"2_counties","Fairfield County","High",139131,1717.78877531551,NA,NA,0.409,0.004
"2_counties","Hartford County","Total",349063,2797.76756334012,NA,NA,NA,NA
"2_counties","Hartford County","Very low",55051,1261.97731947603,NA,NA,0.158,0.003
"2_counties","Hartford County","Low",39071,1041.15264351205,NA,NA,0.112,0.003
"2_counties","Hartford County","Mid-low",56021,1280.41622312224,NA,NA,0.16,0.003
"2_counties","Hartford County","Mid-high",61014,1284.04895469189,NA,NA,0.175,0.003
"2_counties","Hartford County","High",137906,1776.83315326761,NA,NA,0.395,0.004
"2_counties","Litchfield County","Total",73987,1323.10274310591,NA,NA,NA,NA
"2_counties","Litchfield County","Very low",8847,471.034777177546,NA,NA,0.12,0.006
"2_counties","Litchfield County","Low",8733,483.562106863403,NA,NA,0.118,0.006
"2_counties","Litchfield County","Mid-low",12626,568.6519810723,NA,NA,0.171,0.007
"2_counties","Litchfield County","Mid-high",14651,589.454167400003,NA,NA,0.198,0.007
"2_counties","Litchfield County","High",29130,825.888105554936,NA,NA,0.394,0.009
"2_counties","Middlesex County","Total",66893,1360.5252402951,NA,NA,NA,NA
"2_counties","Middlesex County","Very low",9549,540.802999912465,NA,NA,0.143,0.008
"2_counties","Middlesex County","Low",7575,485.128601748594,NA,NA,0.113,0.007
"2_counties","Middlesex County","Mid-low",10848,587.862593350559,NA,NA,0.162,0.008
"2_counties","Middlesex County","Mid-high",12205,564.503363143389,NA,NA,0.182,0.008
"2_counties","Middlesex County","High",26716,840.443094783987,NA,NA,0.399,0.01
"2_counties","New Haven County","Total",329856,2934.27232542606,NA,NA,NA,NA
"2_counties","New Haven County","Very low",49589,1251.07555814577,NA,NA,0.15,0.004
"2_counties","New Haven County","Low",38492,1098.80914388866,NA,NA,0.117,0.003
"2_counties","New Haven County","Mid-low",53398,1339.92060685959,NA,NA,0.162,0.004
"2_counties","New Haven County","Mid-high",55593,1307.63343057186,NA,NA,0.169,0.004
"2_counties","New Haven County","High",132784,1866.35277154504,NA,NA,0.403,0.004
"2_counties","New London County","Total",107402,1693.33212054374,NA,NA,NA,NA
"2_counties","New London County","Very low",14624,705.664608779077,NA,NA,0.136,0.006
"2_counties","New London County","Low",11564,601.617334648102,NA,NA,0.108,0.005
"2_counties","New London County","Mid-low",18384,750.780883991747,NA,NA,0.171,0.006
"2_counties","New London County","Mid-high",20538,764.853580733878,NA,NA,0.191,0.006
"2_counties","New London County","High",42292,990.523684071129,NA,NA,0.394,0.007
"2_counties","Tolland County","Total",55218,1307.45655154338,NA,NA,NA,NA
"2_counties","Tolland County","Very low",8039,546.790696370515,NA,NA,0.146,0.009
"2_counties","Tolland County","Low",6656,484.5451012407,NA,NA,0.121,0.008
"2_counties","Tolland County","Mid-low",8266,520.277091029073,NA,NA,0.15,0.009
"2_counties","Tolland County","Mid-high",10949,588.703887423571,NA,NA,0.198,0.01
"2_counties","Tolland County","High",21308,768.738442961239,NA,NA,0.386,0.011
"2_counties","Windham County","Total",44463,1121.78470386453,NA,NA,NA,NA
"2_counties","Windham County","Very low",6047,424.077503691641,NA,NA,0.136,0.009
"2_counties","Windham County","Low",4626,387.632663899842,NA,NA,0.104,0.008
"2_counties","Windham County","Mid-low",7705,499.431506865787,NA,NA,0.173,0.01
"2_counties","Windham County","Mid-high",8619,490.27585729057,NA,NA,0.194,0.01
"2_counties","Windham County","High",17466,677.835161343452,NA,NA,0.393,0.012
