"level","name","race2","inc_band","value","value_se","statefip.x","statefip.y","share","sharemoe"
"1_state","Connecticut","White","Total",996437,3345.71323951507,NA,NA,NA,NA
"1_state","Connecticut","White","Very low",117488,1747.84769175935,9,9,0.118,0.002
"1_state","Connecticut","White","Low",100645,1584.25279016652,9,9,0.101,0.002
"1_state","Connecticut","White","Mid-low",147671,1922.52391702361,9,9,0.148,0.002
"1_state","Connecticut","White","Mid-high",176546,2016.58463427719,9,9,0.177,0.002
"1_state","Connecticut","White","High",454087,2813.84323519369,9,9,0.456,0.002
"1_state","Connecticut","Black","Total",125094,2102.25130243316,NA,NA,NA,NA
"1_state","Connecticut","Black","Very low",33474,1100.42697013271,9,9,0.268,0.008
"1_state","Connecticut","Black","Low",20070,886.275896217835,9,9,0.16,0.007
"1_state","Connecticut","Black","Mid-low",24128,945.929511986244,9,9,0.193,0.007
"1_state","Connecticut","Black","Mid-high",20599,876.013154962236,9,9,0.165,0.006
"1_state","Connecticut","Black","High",26823,967.700227204245,9,9,0.214,0.007
"1_state","Connecticut","Latino","Total",170817,2463.79750537594,NA,NA,NA,NA
"1_state","Connecticut","Latino","Very low",46506,1287.25744580903,9,9,0.272,0.006
"1_state","Connecticut","Latino","Low",28545,1027.14518823317,9,9,0.167,0.006
"1_state","Connecticut","Latino","Mid-low",34999,1200.12709501168,9,9,0.205,0.006
"1_state","Connecticut","Latino","Mid-high",26518,1023.69853758842,9,9,0.155,0.006
"1_state","Connecticut","Latino","High",34249,1094.11931287805,9,9,0.201,0.006
"1_state","Connecticut","Other race","Total",75026,1509.95856914414,NA,NA,NA,NA
"1_state","Connecticut","Other race","Very low",11262,623.090209035676,9,9,0.15,0.008
"1_state","Connecticut","Other race","Low",7545,525.431975118592,9,9,0.101,0.007
"1_state","Connecticut","Other race","Mid-low",10801,598.737021028311,9,9,0.144,0.007
"1_state","Connecticut","Other race","Mid-high",13844,682.217360501516,9,9,0.185,0.008
"1_state","Connecticut","Other race","High",31574,922.157577381762,9,9,0.421,0.009
"2_counties","Fairfield County","White","Total",233262,2194.61260829741,NA,NA,NA,NA
"2_counties","Fairfield County","White","Very low",29091,907.506650568894,NA,NA,0.125,0.004
"2_counties","Fairfield County","White","Low",22222,750.011314299998,NA,NA,0.095,0.003
"2_counties","Fairfield County","White","Mid-low",31057,867.081738680405,NA,NA,0.133,0.003
"2_counties","Fairfield County","White","Mid-high",36681,944.002078401903,NA,NA,0.157,0.004
"2_counties","Fairfield County","White","High",114211,1523.61030746952,NA,NA,0.49,0.005
"2_counties","Fairfield County","Black","Total",33220,1085.83560345681,NA,NA,NA,NA
"2_counties","Fairfield County","Black","Very low",10571,621.586699455402,NA,NA,0.318,0.016
"2_counties","Fairfield County","Black","Low",5263,444.204393972905,NA,NA,0.158,0.012
"2_counties","Fairfield County","Black","Mid-low",6456,488.216285848931,NA,NA,0.194,0.013
"2_counties","Fairfield County","Black","Mid-high",5118,409.738261275547,NA,NA,0.154,0.011
"2_counties","Fairfield County","Black","High",5812,448.69198613371,NA,NA,0.175,0.012
"2_counties","Fairfield County","Latino","Total",52636,1340.23708039712,NA,NA,NA,NA
"2_counties","Fairfield County","Latino","Very low",14276,706.099829886957,NA,NA,0.271,0.012
"2_counties","Fairfield County","Latino","Low",10141,613.77846926401,NA,NA,0.193,0.011
"2_counties","Fairfield County","Latino","Mid-low",10139,593.503358940935,NA,NA,0.193,0.01
"2_counties","Fairfield County","Latino","Mid-high",8360,549.345574447142,NA,NA,0.159,0.01
"2_counties","Fairfield County","Latino","High",9720,545.908694276352,NA,NA,0.185,0.009
"2_counties","Fairfield County","Other race","Total",21374,774.034248210348,NA,NA,NA,NA
"2_counties","Fairfield County","Other race","Very low",3046,310.396482047013,NA,NA,0.143,0.014
"2_counties","Fairfield County","Other race","Low",2462,295.958449273046,NA,NA,0.115,0.013
"2_counties","Fairfield County","Other race","Mid-low",2699,290.78005334776,NA,NA,0.126,0.013
"2_counties","Fairfield County","Other race","Mid-high",3779,344.860046667803,NA,NA,0.177,0.015
"2_counties","Fairfield County","Other race","High",9388,465.197788896636,NA,NA,0.439,0.015
"2_counties","Hartford County","White","Total",236013,2216.58188292177,NA,NA,NA,NA
"2_counties","Hartford County","White","Very low",26354,815.08285141139,NA,NA,0.112,0.003
"2_counties","Hartford County","White","Low",23254,757.465862600301,NA,NA,0.099,0.003
"2_counties","Hartford County","White","Mid-low",34161,924.503906497498,NA,NA,0.145,0.004
"2_counties","Hartford County","White","Mid-high",42256,1010.34985672908,NA,NA,0.179,0.004
"2_counties","Hartford County","White","High",109988,1535.51343303017,NA,NA,0.466,0.005
"2_counties","Hartford County","Black","Total",40863,1174.32471881425,NA,NA,NA,NA
"2_counties","Hartford County","Black","Very low",9426,555.872440114577,NA,NA,0.231,0.012
"2_counties","Hartford County","Black","Low",6234,467.96662480895,NA,NA,0.153,0.011
"2_counties","Hartford County","Black","Mid-low",8640,552.978489683593,NA,NA,0.211,0.012
"2_counties","Hartford County","Black","Mid-high",7416,509.371039221989,NA,NA,0.181,0.011
"2_counties","Hartford County","Black","High",9147,551.927974215079,NA,NA,0.224,0.012
"2_counties","Hartford County","Latino","Total",50591,1323.10664043733,NA,NA,NA,NA
"2_counties","Hartford County","Latino","Very low",16347,742.214665999145,NA,NA,0.323,0.012
"2_counties","Hartford County","Latino","Low",7865,502.215682169865,NA,NA,0.155,0.009
"2_counties","Hartford County","Latino","Mid-low",10134,632.572012379611,NA,NA,0.2,0.011
"2_counties","Hartford County","Latino","Mid-high",6891,502.53967423447,NA,NA,0.136,0.009
"2_counties","Hartford County","Latino","High",9354,568.360375609968,NA,NA,0.185,0.01
"2_counties","Hartford County","Other race","Total",21596,809.191397703608,NA,NA,NA,NA
"2_counties","Hartford County","Other race","Very low",2924,310.271315239381,NA,NA,0.135,0.013
"2_counties","Hartford County","Other race","Low",1718,226.986635740664,NA,NA,0.08,0.01
"2_counties","Hartford County","Other race","Mid-low",3086,322.640066313411,NA,NA,0.143,0.014
"2_counties","Hartford County","Other race","Mid-high",4451,376.391358887212,NA,NA,0.206,0.016
"2_counties","Hartford County","Other race","High",9417,515.75475025972,NA,NA,0.436,0.017
"2_counties","Litchfield County","White","Total",68255,1254.35335636014,NA,NA,NA,NA
"2_counties","Litchfield County","White","Very low",7949,434.574369733877,NA,NA,0.116,0.006
"2_counties","Litchfield County","White","Low",8024,461.576928436257,NA,NA,0.118,0.006
"2_counties","Litchfield County","White","Mid-low",11435,534.469223809901,NA,NA,0.168,0.007
"2_counties","Litchfield County","White","Mid-high",13513,561.777212380858,NA,NA,0.198,0.007
"2_counties","Litchfield County","White","High",27334,787.014829930694,NA,NA,0.4,0.009
"2_counties","Litchfield County","Black","Total",903,154.044762826432,NA,NA,NA,NA
"2_counties","Litchfield County","Black","Very low",134,49.9577928491038,NA,NA,0.148,0.049
"2_counties","Litchfield County","Black","Low",46,23.2804147325247,NA,NA,0.051,0.024
"2_counties","Litchfield County","Black","Mid-low",270,104.053452513215,NA,NA,0.299,0.103
"2_counties","Litchfield County","Black","Mid-high",189,61.6648035731112,NA,NA,0.209,0.058
"2_counties","Litchfield County","Black","High",264,77.9172574056995,NA,NA,0.292,0.07
"2_counties","Litchfield County","Latino","Total",3168,340.187470213472,NA,NA,NA,NA
"2_counties","Litchfield County","Latino","Very low",544,155.602545263203,NA,NA,0.172,0.046
"2_counties","Litchfield County","Latino","Low",434,121.57936500621,NA,NA,0.137,0.035
"2_counties","Litchfield County","Latino","Mid-low",629,137.25036995051,NA,NA,0.199,0.038
"2_counties","Litchfield County","Latino","Mid-high",511,126.931203402577,NA,NA,0.161,0.036
"2_counties","Litchfield County","Latino","High",1050,204.682634020606,NA,NA,0.331,0.054
"2_counties","Litchfield County","Other race","Total",1661,221.573071212635,NA,NA,NA,NA
"2_counties","Litchfield County","Other race","Very low",220,80.7428444191543,NA,NA,0.132,0.045
"2_counties","Litchfield County","Other race","Low",229,74.968906675134,NA,NA,0.138,0.041
"2_counties","Litchfield County","Other race","Mid-low",292,91.8744366017234,NA,NA,0.176,0.05
