"inc_band","cost_band","units"
"Very low","High",8328
"Very low","Low",57631
"Very low","Mid-high",20463
"Very low","Mid-low",61347
"Very low","Very low",60961
"Low","High",7402
"Low","Low",47355
"Low","Mid-high",23758
"Low","Mid-low",59829
"Low","Very low",18461
"Mid-low","High",15815
"Mid-low","Low",50311
"Mid-low","Mid-high",46256
"Mid-low","Mid-low",89438
"Mid-low","Very low",15779
"Mid-high","High",28131
"Mid-high","Low",39121
"Mid-high","Mid-high",73653
"Mid-high","Mid-low",85375
"Mid-high","Very low",11227
"High","High",202051
"High","Low",49674
"High","Mid-high",174081
"High","Mid-low",109596
"High","Very low",11331
