level,name,year,tenure,hhlds,value,share
1_state,Connecticut,2000,owner,total,869729,NA
1_state,Connecticut,2000,owner,1-person,171735,0.197
1_state,Connecticut,2000,owner,2-person,307405,0.353
1_state,Connecticut,2000,owner,3-person,151757,0.174
1_state,Connecticut,2000,owner,4-person or more,238832,0.275
1_state,Connecticut,2010,owner,total,939984,NA
1_state,Connecticut,2010,owner,1-person,197899,0.211
1_state,Connecticut,2010,owner,2-person,331130,0.352
1_state,Connecticut,2010,owner,3-person,159752,0.17
1_state,Connecticut,2010,owner,4-person or more,251203,0.267
1_state,Connecticut,2018,owner,total,907134,NA
1_state,Connecticut,2018,owner,1-person,201119,0.222
1_state,Connecticut,2018,owner,2-person,338361,0.373
1_state,Connecticut,2018,owner,3-person,154274,0.17
1_state,Connecticut,2018,owner,4-person or more,213380,0.235
2_counties,Fairfield County,2000,owner,total,224516,NA
2_counties,Fairfield County,2000,owner,1-person,42415,0.189
2_counties,Fairfield County,2000,owner,2-person,75383,0.336
2_counties,Fairfield County,2000,owner,3-person,39176,0.174
2_counties,Fairfield County,2000,owner,4-person or more,67542,0.301
2_counties,Fairfield County,2010,owner,total,234419,NA
2_counties,Fairfield County,2010,owner,1-person,47766,0.204
2_counties,Fairfield County,2010,owner,2-person,74995,0.32
2_counties,Fairfield County,2010,owner,3-person,40327,0.172
2_counties,Fairfield County,2010,owner,4-person or more,71331,0.304
2_counties,Fairfield County,2018,owner,total,229169,NA
2_counties,Fairfield County,2018,owner,1-person,45817,0.2
2_counties,Fairfield County,2018,owner,2-person,78905,0.344
2_counties,Fairfield County,2018,owner,3-person,40493,0.177
2_counties,Fairfield County,2018,owner,4-person or more,63954,0.279
2_counties,Hartford County,2000,owner,total,215275,NA
2_counties,Hartford County,2000,owner,1-person,44482,0.207
2_counties,Hartford County,2000,owner,2-person,77562,0.36
2_counties,Hartford County,2000,owner,3-person,36616,0.17
2_counties,Hartford County,2000,owner,4-person or more,56615,0.263
2_counties,Hartford County,2010,owner,total,231066,NA
2_counties,Hartford County,2010,owner,1-person,52297,0.226
2_counties,Hartford County,2010,owner,2-person,82298,0.356
2_counties,Hartford County,2010,owner,3-person,38093,0.165
2_counties,Hartford County,2010,owner,4-person or more,58378,0.253
2_counties,Hartford County,2018,owner,total,225112,NA
2_counties,Hartford County,2018,owner,1-person,51471,0.229
2_counties,Hartford County,2018,owner,2-person,82485,0.366
2_counties,Hartford County,2018,owner,3-person,38914,0.173
2_counties,Hartford County,2018,owner,4-person or more,52242,0.232
2_counties,Litchfield County,2000,owner,total,53789,NA
2_counties,Litchfield County,2000,owner,1-person,10241,0.19
2_counties,Litchfield County,2000,owner,2-person,19671,0.366
2_counties,Litchfield County,2000,owner,3-person,9379,0.174
2_counties,Litchfield County,2000,owner,4-person or more,14498,0.27
2_counties,Litchfield County,2010,owner,total,60345,NA
2_counties,Litchfield County,2010,owner,1-person,12492,0.207
2_counties,Litchfield County,2010,owner,2-person,23075,0.382
2_counties,Litchfield County,2010,owner,3-person,9778,0.162
2_counties,Litchfield County,2010,owner,4-person or more,15000,0.249
2_counties,Litchfield County,2018,owner,total,57079,NA
2_counties,Litchfield County,2018,owner,1-person,12863,0.225
2_counties,Litchfield County,2018,owner,2-person,23047,0.404
2_counties,Litchfield County,2018,owner,3-person,8905,0.156
2_counties,Litchfield County,2018,owner,4-person or more,12264,0.215
2_counties,Middlesex County,2000,owner,total,44225,NA
2_counties,Middlesex County,2000,owner,1-person,8882,0.201
2_counties,Middlesex County,2000,owner,2-person,16446,0.372
2_counties,Middlesex County,2000,owner,3-person,7735,0.175
2_counties,Middlesex County,2000,owner,4-person or more,11162,0.252
2_counties,Middlesex County,2010,owner,total,50796,NA
