name,inc_band,disability,value,value_se,share,sharemoe
Connecticut,High,TOTAL,546733,3103.1408636002134,NA,NA
Connecticut,High,FALSE,466501,2986.7966797136464,0.853,0.003
Connecticut,High,TRUE,80232,1329.885560744024,0.147,0.002
Connecticut,Low,TOTAL,156805,2107.070845079833,NA,NA
Connecticut,Low,FALSE,109978,1819.2179997134497,0.701,0.007
Connecticut,Low,TRUE,46827,1129.6251908380648,0.299,0.006
Connecticut,Mid-high,TOTAL,237507,2451.2500168908527,NA,NA
Connecticut,Mid-high,FALSE,192055,2263.91470432218,0.809,0.005
Connecticut,Mid-high,TRUE,45452,1063.274575354556,0.191,0.004
Connecticut,Mid-low,TOTAL,217599,2460.731270197385,NA,NA
Connecticut,Mid-low,FALSE,167020,2224.340495270074,0.768,0.005
Connecticut,Mid-low,TRUE,50579,1160.5036213911796,0.232,0.005
Connecticut,Very low,TOTAL,208730,2436.794701049412,NA,NA
Connecticut,Very low,FALSE,129374,1967.6848340768747,0.62,0.006
Connecticut,Very low,TRUE,79356,1535.2399307489588,0.38,0.006
Fairfield County,High,TOTAL,139131,1717.7887753155123,NA,NA
Fairfield County,High,FALSE,121401,1620.5724533453872,0.873,0.004
Fairfield County,High,TRUE,17730,620.8911960970977,0.127,0.004
Fairfield County,Low,TOTAL,40088,1100.1452545264212,NA,NA
Fairfield County,Low,FALSE,29597,965.5419879199536,0.738,0.013
Fairfield County,Low,TRUE,10491,535.5767698473242,0.262,0.011
Fairfield County,Mid-high,TOTAL,53938,1207.9535064204504,NA,NA
Fairfield County,Mid-high,FALSE,45138,1124.9629106187058,0.837,0.009
Fairfield County,Mid-high,TRUE,8800,452.6149199064842,0.163,0.008
Fairfield County,Mid-low,TOTAL,50351,1186.1245222918355,NA,NA
Fairfield County,Mid-low,FALSE,39394,1072.9034793619746,0.782,0.011
Fairfield County,Mid-low,TRUE,10957,517.6820188296572,0.218,0.009
Fairfield County,Very low,TOTAL,56984,1332.4644707193443,NA,NA
Fairfield County,Very low,FALSE,37123,1091.3451408761305,0.651,0.012
Fairfield County,Very low,TRUE,19861,778.0164492393715,0.349,0.011
Hartford County,High,TOTAL,137906,1776.8331532676143,NA,NA
Hartford County,High,FALSE,117073,1656.5979099852511,0.849,0.005
Hartford County,High,TRUE,20833,694.1885274032176,0.151,0.005
Hartford County,Low,TOTAL,39071,1041.1526435120484,NA,NA
Hartford County,Low,FALSE,26717,875.6333102786094,0.684,0.013
Hartford County,Low,TRUE,12354,571.5009536303214,0.316,0.012
Hartford County,Mid-high,TOTAL,61014,1284.0489546918855,NA,NA
Hartford County,Mid-high,FALSE,49461,1171.1621796689603,0.811,0.009
Hartford County,Mid-high,TRUE,11553,541.6133740049431,0.189,0.008
Hartford County,Mid-low,TOTAL,56021,1280.416223122236,NA,NA
Hartford County,Mid-low,FALSE,42690,1142.5816353669672,0.762,0.011
Hartford County,Mid-low,TRUE,13331,591.6851446880017,0.238,0.009
Hartford County,Very low,TOTAL,55051,1261.977319476027,NA,NA
Hartford County,Very low,FALSE,32631,968.694897926464,0.593,0.011
Hartford County,Very low,TRUE,22420,821.5457333562574,0.407,0.012
Litchfield County,High,TOTAL,29130,825.8881055549365,NA,NA
Litchfield County,High,FALSE,24929,771.9086428444047,0.856,0.011
Litchfield County,High,TRUE,4201,298.6877008860745,0.144,0.009
Litchfield County,Low,TOTAL,8733,483.5621068634025,NA,NA
Litchfield County,Low,FALSE,5825,392.9945193606266,0.667,0.026
Litchfield County,Low,TRUE,2908,282.608170804647,0.333,0.027
Litchfield County,Mid-high,TOTAL,14651,589.4541674000028,NA,NA
Litchfield County,Mid-high,FALSE,12016,546.8652444976736,0.82,0.017
Litchfield County,Mid-high,TRUE,2635,222.01660825218147,0.18,0.013
Litchfield County,Mid-low,TOTAL,12626,568.6519810722996,NA,NA
Litchfield County,Mid-low,FALSE,9582,502.84329912436453,0.759,0.02
Litchfield County,Mid-low,TRUE,3044,267.0951037263251,0.241,0.018
Litchfield County,Very low,TOTAL,8847,471.03477717754595,NA,NA
Litchfield County,Very low,FALSE,5630,373.8410307211467,0.636,0.025
Litchfield County,Very low,TRUE,3217,287.4536757048313,0.364,0.026
Middlesex County,High,TOTAL,26716,840.4430947839866,NA,NA
Middlesex County,High,FALSE,23205,790.7341525389585,0.869,0.011
Middlesex County,High,TRUE,3511,288.77606439127914,0.131,0.01
Middlesex County,Low,TOTAL,7575,485.12860174859355,NA,NA
Middlesex County,Low,FALSE,5082,412.44232832134617,0.671,0.033
Middlesex County,Low,TRUE,2493,256.1248075792308,0.329,0.026
Middlesex County,Mid-high,TOTAL,12205,564.5033631433887,NA,NA
Middlesex County,Mid-high,FALSE,9932,503.7168619884964,0.814,0.017
Middlesex County,Mid-high,TRUE,2273,256.0717963111553,0.186,0.019
Middlesex County,Mid-low,TOTAL,10848,587.8625933505593,NA,NA
Middlesex County,Mid-low,FALSE,8518,532.5002707553398,0.785,0.024
Middlesex County,Mid-low,TRUE,2330,250.17595235609403,0.215,0.02
Middlesex County,Very low,TOTAL,9549,540.8029999124655,NA,NA
Middlesex County,Very low,FALSE,5849,439.7695717742384,0.613,0.03
Middlesex County,Very low,TRUE,3700,315.7270121718359,0.387,0.025
New Haven County,High,TOTAL,132784,1866.3527715450434,NA,NA
New Haven County,High,FALSE,112673,1754.2156520091007,0.849,0.006
New Haven County,High,TRUE,20111,685.6953914358869,0.151,0.005
New Haven County,Low,TOTAL,38492,1098.8091438886602,NA,NA
New Haven County,Low,FALSE,26927,948.6696225491964,0.7,0.014
New Haven County,Low,TRUE,11565,562.3410374752159,0.3,0.012
New Haven County,Mid-high,TOTAL,55593,1307.63343057186,NA,NA
New Haven County,Mid-high,FALSE,44479,1197.0577435244984,0.8,0.01
New Haven County,Mid-high,TRUE,11114,539.4060877821473,0.2,0.008
New Haven County,Mid-low,TOTAL,53398,1339.9206068595872,NA,NA
New Haven County,Mid-low,FALSE,41664,1211.9450109521533,0.78,0.011
New Haven County,Mid-low,TRUE,11734,583.4578179317018,0.22,0.009
New Haven County,Very low,TOTAL,49589,1251.0755581457702,NA,NA
New Haven County,Very low,FALSE,31160,1008.2205812287739,0.628,0.013
New Haven County,Very low,TRUE,18429,751.6285616838923,0.372,0.012
New London County,High,TOTAL,42292,990.5236840711293,NA,NA
New London County,High,FALSE,34703,897.5813197737516,0.821,0.009
New London County,High,TRUE,7589,427.7195480321949,0.179,0.009
New London County,Low,TOTAL,11564,601.6173346481017,NA,NA
New London County,Low,FALSE,8024,500.64138178888794,0.694,0.024
New London County,Low,TRUE,3540,334.8225296296146,0.306,0.024
New London County,Mid-high,TOTAL,20538,764.8535807338783,NA,NA
New London County,Mid-high,FALSE,15721,669.9592848537362,0.765,0.016
New London County,Mid-high,TRUE,4817,371.88757929532466,0.235,0.016
New London County,Mid-low,TOTAL,18384,750.7808839917467,NA,NA
New London County,Mid-low,FALSE,13640,659.0701668569122,0.742,0.019
New London County,Mid-low,TRUE,4744,362.12035829397195,0.258,0.017
New London County,Very low,TOTAL,14624,705.6646087790767,NA,NA
New London County,Very low,FALSE,8391,522.7177080636404,0.574,0.023
New London County,Very low,TRUE,6233,475.6154336072188,0.426,0.025
Tolland County,High,TOTAL,21308,768.7384429612393,NA,NA
Tolland County,High,FALSE,18505,730.2419434478861,0.868,0.014
Tolland County,High,TRUE,2803,243.25825154632327,0.132,0.01
Tolland County,Low,TOTAL,6656,484.5451012407001,NA,NA
Tolland County,Low,FALSE,4929,419.84455664682446,0.741,0.033
Tolland County,Low,TRUE,1727,242.3955365967819,0.259,0.031
Tolland County,Mid-high,TOTAL,10949,588.703887423571,NA,NA
Tolland County,Mid-high,FALSE,8684,535.7444819760823,0.793,0.024
Tolland County,Mid-high,TRUE,2265,245.16770091492606,0.207,0.019
Tolland County,Mid-low,TOTAL,8266,520.2770910290733,NA,NA
Tolland County,Mid-low,FALSE,6088,436.84761551847123,0.737,0.025
Tolland County,Mid-low,TRUE,2178,283.24540657979486,0.263,0.03
Tolland County,Very low,TOTAL,8039,546.790696370515,NA,NA
Tolland County,Very low,FALSE,5373,449.74553455739255,0.668,0.033
Tolland County,Very low,TRUE,2666,311.63235464763153,0.332,0.032
Windham County,High,TOTAL,17466,677.8351613434515,NA,NA
Windham County,High,FALSE,14012,609.2855832048855,0.802,0.016
Windham County,High,TRUE,3454,299.3364751273742,0.198,0.015
Windham County,Low,TOTAL,4626,387.6326638998425,NA,NA
Windham County,Low,FALSE,2877,308.85779518693647,0.622,0.042
Windham County,Low,TRUE,1749,234.5388244434648,0.378,0.04
Windham County,Mid-high,TOTAL,8619,490.2758572905701,NA,NA
Windham County,Mid-high,FALSE,6624,434.4390877509792,0.769,0.025
Windham County,Mid-high,TRUE,1995,228.05125512213345,0.231,0.023
Windham County,Mid-low,TOTAL,7705,499.4315068657874,NA,NA
Windham County,Mid-low,FALSE,5444,421.20400996696765,0.707,0.03
Windham County,Mid-low,TRUE,2261,269.01232604791835,0.293,0.029
Windham County,Very low,TOTAL,6047,424.077503691641,NA,NA
Windham County,Very low,FALSE,3217,321.57100292105144,0.532,0.038
Windham County,Very low,TRUE,2830,276.9326113531425,0.468,0.032
