level,name,year,tenure,hhlds,value
1_state,Connecticut,2000,total,total,1301670
1_state,Connecticut,2000,owner,total,869729
1_state,Connecticut,2000,owner,p1,171735
1_state,Connecticut,2000,owner,p2,307405
1_state,Connecticut,2000,owner,p3,151757
1_state,Connecticut,2000,owner,p4_or_more,238832
1_state,Connecticut,2000,renter,total,431941
1_state,Connecticut,2000,renter,p1,172489
1_state,Connecticut,2000,renter,p2,116781
1_state,Connecticut,2000,renter,p3,63592
1_state,Connecticut,2000,renter,p4_or_more,79079
2_counties,Fairfield County,2000,total,total,324232
2_counties,Fairfield County,2000,owner,total,224516
2_counties,Fairfield County,2000,owner,p1,42415
2_counties,Fairfield County,2000,owner,p2,75383
2_counties,Fairfield County,2000,owner,p3,39176
2_counties,Fairfield County,2000,owner,p4_or_more,67542
2_counties,Fairfield County,2000,renter,total,99716
2_counties,Fairfield County,2000,renter,p1,35503
2_counties,Fairfield County,2000,renter,p2,26560
2_counties,Fairfield County,2000,renter,p3,15384
2_counties,Fairfield County,2000,renter,p4_or_more,22269
2_counties,Hartford County,2000,total,total,335098
2_counties,Hartford County,2000,owner,total,215275
2_counties,Hartford County,2000,owner,p1,44482
2_counties,Hartford County,2000,owner,p2,77562
2_counties,Hartford County,2000,owner,p3,36616
2_counties,Hartford County,2000,owner,p4_or_more,56615
2_counties,Hartford County,2000,renter,total,119823
2_counties,Hartford County,2000,renter,p1,49033
2_counties,Hartford County,2000,renter,p2,32143
2_counties,Hartford County,2000,renter,p3,17571
2_counties,Hartford County,2000,renter,p4_or_more,21076
2_counties,Litchfield County,2000,total,total,71551
2_counties,Litchfield County,2000,owner,total,53789
2_counties,Litchfield County,2000,owner,p1,10241
2_counties,Litchfield County,2000,owner,p2,19671
2_counties,Litchfield County,2000,owner,p3,9379
2_counties,Litchfield County,2000,owner,p4_or_more,14498
2_counties,Litchfield County,2000,renter,total,17762
2_counties,Litchfield County,2000,renter,p1,7838
2_counties,Litchfield County,2000,renter,p2,4984
2_counties,Litchfield County,2000,renter,p3,2327
2_counties,Litchfield County,2000,renter,p4_or_more,2613
2_counties,Middlesex County,2000,total,total,61341
2_counties,Middlesex County,2000,owner,total,44225
2_counties,Middlesex County,2000,owner,p1,8882
2_counties,Middlesex County,2000,owner,p2,16446
2_counties,Middlesex County,2000,owner,p3,7735
2_counties,Middlesex County,2000,owner,p4_or_more,11162
2_counties,Middlesex County,2000,renter,total,17116
2_counties,Middlesex County,2000,renter,p1,7833
2_counties,Middlesex County,2000,renter,p2,4965
2_counties,Middlesex County,2000,renter,p3,2152
2_counties,Middlesex County,2000,renter,p4_or_more,2166
2_counties,New Haven County,2000,total,total,319040
2_counties,New Haven County,2000,owner,total,201317
2_counties,New Haven County,2000,owner,p1,41532
2_counties,New Haven County,2000,owner,p2,69701
2_counties,New Haven County,2000,owner,p3,35696
2_counties,New Haven County,2000,owner,p4_or_more,54388
2_counties,New Haven County,2000,renter,total,117723
2_counties,New Haven County,2000,renter,p1,48554
2_counties,New Haven County,2000,renter,p2,31227
2_counties,New Haven County,2000,renter,p3,17107
2_counties,New Haven County,2000,renter,p4_or_more,20835
2_counties,New London County,2000,total,total,99835
2_counties,New London County,2000,owner,total,66562
2_counties,New London County,2000,owner,p1,13311
2_counties,New London County,2000,owner,p2,24958
2_counties,New London County,2000,owner,p3,11607
2_counties,New London County,2000,owner,p4_or_more,16686
2_counties,New London County,2000,renter,total,33273
2_counties,New London County,2000,renter,p1,12999
2_counties,New London County,2000,renter,p2,9201
2_counties,New London County,2000,renter,p3,5104
2_counties,New London County,2000,renter,p4_or_more,5969
2_counties,Tolland County,2000,total,total,49431
2_counties,Tolland County,2000,owner,total,36309
2_counties,Tolland County,2000,owner,p1,5949
2_counties,Tolland County,2000,owner,p2,13524
2_counties,Tolland County,2000,owner,p3,6470
2_counties,Tolland County,2000,owner,p4_or_more,10366
2_counties,Tolland County,2000,renter,total,13122
2_counties,Tolland County,2000,renter,p1,5655
2_counties,Tolland County,2000,renter,p2,3963
2_counties,Tolland County,2000,renter,p3,1831
2_counties,Tolland County,2000,renter,p4_or_more,1673
2_counties,Windham County,2000,total,total,41142
2_counties,Windham County,2000,owner,total,27736
2_counties,Windham County,2000,owner,p1,4923
2_counties,Windham County,2000,owner,p2,10160
2_counties,Windham County,2000,owner,p3,5078
2_counties,Windham County,2000,owner,p4_or_more,7575
2_counties,Windham County,2000,renter,total,13406
2_counties,Windham County,2000,renter,p1,5074
2_counties,Windham County,2000,renter,p2,3738
2_counties,Windham County,2000,renter,p3,2116
2_counties,Windham County,2000,renter,p4_or_more,2478
3_towns,Andover,2000,total,total,1150
3_towns,Andover,2000,owner,total,1000
3_towns,Andover,2000,owner,p1,146
3_towns,Andover,2000,owner,p2,377
3_towns,Andover,2000,owner,p3,184
3_towns,Andover,2000,owner,p4_or_more,293
3_towns,Andover,2000,renter,total,150
3_towns,Andover,2000,renter,p1,72
3_towns,Andover,2000,renter,p2,37
3_towns,Andover,2000,renter,p3,20
3_towns,Andover,2000,renter,p4_or_more,21
3_towns,Ansonia,2000,total,total,7507
3_towns,Ansonia,2000,owner,total,4171
3_towns,Ansonia,2000,owner,p1,897
3_towns,Ansonia,2000,owner,p2,1447
3_towns,Ansonia,2000,owner,p3,763
3_towns,Ansonia,2000,owner,p4_or_more,1064
3_towns,Ansonia,2000,renter,total,3336
3_towns,Ansonia,2000,renter,p1,1246
3_towns,Ansonia,2000,renter,p2,927
3_towns,Ansonia,2000,renter,p3,539
3_towns,Ansonia,2000,renter,p4_or_more,624
3_towns,Ashford,2000,total,total,1578
3_towns,Ashford,2000,owner,total,1156
3_towns,Ashford,2000,owner,p1,184
3_towns,Ashford,2000,owner,p2,419
3_towns,Ashford,2000,owner,p3,215
3_towns,Ashford,2000,owner,p4_or_more,338
3_towns,Ashford,2000,renter,total,422
3_towns,Ashford,2000,renter,p1,141
3_towns,Ashford,2000,renter,p2,161
3_towns,Ashford,2000,renter,p3,64
3_towns,Ashford,2000,renter,p4_or_more,56
3_towns,Avon,2000,total,total,6192
3_towns,Avon,2000,owner,total,5316
3_towns,Avon,2000,owner,p1,1015
3_towns,Avon,2000,owner,p2,2026
3_towns,Avon,2000,owner,p3,806
3_towns,Avon,2000,owner,p4_or_more,1469
3_towns,Avon,2000,renter,total,876
3_towns,Avon,2000,renter,p1,440
