level,name,year,tenure,hhlds,value,change_from_prev_data_year
1_state,Connecticut,2000,owner,p1,171735,0
1_state,Connecticut,2000,renter,p1,172489,0
1_state,Connecticut,2000,owner,p2,307405,0
1_state,Connecticut,2000,renter,p2,116781,0
1_state,Connecticut,2000,owner,p3,151757,0
1_state,Connecticut,2000,renter,p3,63592,0
1_state,Connecticut,2000,owner,p4_or_more,238832,0
1_state,Connecticut,2000,renter,p4_or_more,79079,0
1_state,Connecticut,2000,owner,total,869729,0
1_state,Connecticut,2000,renter,total,431941,0
1_state,Connecticut,2000,total,total,1301670,0
1_state,Connecticut,2010,owner,p1,197899,26164
1_state,Connecticut,2010,renter,p1,171653,-836
1_state,Connecticut,2010,owner,p2,331130,23725
1_state,Connecticut,2010,renter,p2,112607,-4174
1_state,Connecticut,2010,owner,p3,159752,7995
1_state,Connecticut,2010,renter,p3,61329,-2263
1_state,Connecticut,2010,owner,p4_or_more,251203,12371
1_state,Connecticut,2010,renter,p4_or_more,73645,-5434
1_state,Connecticut,2010,owner,total,939984,70255
1_state,Connecticut,2010,renter,total,419234,-12707
1_state,Connecticut,2010,total,total,1359218,57548
1_state,Connecticut,2018,owner,p1,201119,3220
1_state,Connecticut,2018,renter,p1,189231,17578
1_state,Connecticut,2018,owner,p2,338361,7231
1_state,Connecticut,2018,renter,p2,122373,9766
1_state,Connecticut,2018,owner,p3,154274,-5478
1_state,Connecticut,2018,renter,p3,67647,6318
1_state,Connecticut,2018,owner,p4_or_more,213380,-37823
1_state,Connecticut,2018,renter,p4_or_more,80989,7344
1_state,Connecticut,2018,owner,total,907134,-32850
1_state,Connecticut,2018,renter,total,460240,41006
1_state,Connecticut,2018,total,total,1367374,8156
2_counties,Fairfield County,2000,owner,p1,42415,0
2_counties,Hartford County,2000,owner,p1,44482,-1335
2_counties,Litchfield County,2000,owner,p1,10241,-41230
2_counties,Middlesex County,2000,owner,p1,8882,-3981
2_counties,New Haven County,2000,owner,p1,41532,30388
2_counties,New London County,2000,owner,p1,13311,-35479
2_counties,Tolland County,2000,owner,p1,5949,-10804
2_counties,Windham County,2000,owner,p1,4923,-2787
2_counties,Fairfield County,2000,renter,p1,35503,0
2_counties,Hartford County,2000,renter,p1,49033,10223
2_counties,Litchfield County,2000,renter,p1,7838,-44297
2_counties,Middlesex County,2000,renter,p1,7833,245
2_counties,New Haven County,2000,renter,p1,48554,40273
2_counties,New London County,2000,renter,p1,12999,-42904
2_counties,Tolland County,2000,renter,p1,5655,-8908
2_counties,Windham County,2000,renter,p1,5074,-1475
2_counties,Fairfield County,2000,owner,p2,75383,0
2_counties,Hartford County,2000,owner,p2,77562,-1343
2_counties,Litchfield County,2000,owner,p2,19671,-62814
2_counties,Middlesex County,2000,owner,p2,16446,-6601
2_counties,New Haven County,2000,owner,p2,69701,49632
2_counties,New London County,2000,owner,p2,24958,-50466
2_counties,Tolland County,2000,owner,p2,13524,-15345
2_counties,Windham County,2000,owner,p2,10160,-6447
2_counties,Fairfield County,2000,renter,p2,26560,0
2_counties,Hartford County,2000,renter,p2,32143,3946
2_counties,Litchfield County,2000,renter,p2,4984,-27348
2_counties,Middlesex County,2000,renter,p2,4965,136
2_counties,New Haven County,2000,renter,p2,31227,26314
2_counties,New London County,2000,renter,p2,9201,-24869
2_counties,Tolland County,2000,renter,p2,3963,-5632
