level,name,year,tenure,hhlds,value,share
1_state,Connecticut,2000,owner,total,869729,NA
1_state,Connecticut,2000,owner,p1,171735,0.197
1_state,Connecticut,2000,owner,p2,307405,0.353
1_state,Connecticut,2000,owner,p3,151757,0.174
1_state,Connecticut,2000,owner,p4_or_more,238832,0.275
1_state,Connecticut,2010,owner,total,939984,NA
1_state,Connecticut,2010,owner,p1,197899,0.211
1_state,Connecticut,2010,owner,p2,331130,0.352
1_state,Connecticut,2010,owner,p3,159752,0.17
1_state,Connecticut,2010,owner,p4_or_more,251203,0.267
1_state,Connecticut,2018,owner,total,907134,NA
1_state,Connecticut,2018,owner,p1,201119,0.222
1_state,Connecticut,2018,owner,p2,338361,0.373
1_state,Connecticut,2018,owner,p3,154274,0.17
1_state,Connecticut,2018,owner,p4_or_more,213380,0.235
2_counties,Fairfield County,2000,owner,total,224516,NA
2_counties,Fairfield County,2000,owner,p1,42415,0.189
2_counties,Fairfield County,2000,owner,p2,75383,0.336
2_counties,Fairfield County,2000,owner,p3,39176,0.174
2_counties,Fairfield County,2000,owner,p4_or_more,67542,0.301
2_counties,Fairfield County,2010,owner,total,234419,NA
2_counties,Fairfield County,2010,owner,p1,47766,0.204
2_counties,Fairfield County,2010,owner,p2,74995,0.32
2_counties,Fairfield County,2010,owner,p3,40327,0.172
2_counties,Fairfield County,2010,owner,p4_or_more,71331,0.304
2_counties,Fairfield County,2018,owner,total,229169,NA
2_counties,Fairfield County,2018,owner,p1,45817,0.2
2_counties,Fairfield County,2018,owner,p2,78905,0.344
2_counties,Fairfield County,2018,owner,p3,40493,0.177
2_counties,Fairfield County,2018,owner,p4_or_more,63954,0.279
2_counties,Hartford County,2000,owner,total,215275,NA
2_counties,Hartford County,2000,owner,p1,44482,0.207
2_counties,Hartford County,2000,owner,p2,77562,0.36
2_counties,Hartford County,2000,owner,p3,36616,0.17
2_counties,Hartford County,2000,owner,p4_or_more,56615,0.263
2_counties,Hartford County,2010,owner,total,231066,NA
2_counties,Hartford County,2010,owner,p1,52297,0.226
2_counties,Hartford County,2010,owner,p2,82298,0.356
2_counties,Hartford County,2010,owner,p3,38093,0.165
2_counties,Hartford County,2010,owner,p4_or_more,58378,0.253
2_counties,Hartford County,2018,owner,total,225112,NA
2_counties,Hartford County,2018,owner,p1,51471,0.229
2_counties,Hartford County,2018,owner,p2,82485,0.366
2_counties,Hartford County,2018,owner,p3,38914,0.173
2_counties,Hartford County,2018,owner,p4_or_more,52242,0.232
2_counties,Litchfield County,2000,owner,total,53789,NA
2_counties,Litchfield County,2000,owner,p1,10241,0.19
2_counties,Litchfield County,2000,owner,p2,19671,0.366
2_counties,Litchfield County,2000,owner,p3,9379,0.174
2_counties,Litchfield County,2000,owner,p4_or_more,14498,0.27
2_counties,Litchfield County,2010,owner,total,60345,NA
2_counties,Litchfield County,2010,owner,p1,12492,0.207
2_counties,Litchfield County,2010,owner,p2,23075,0.382
2_counties,Litchfield County,2010,owner,p3,9778,0.162
2_counties,Litchfield County,2010,owner,p4_or_more,15000,0.249
2_counties,Litchfield County,2018,owner,total,57079,NA
2_counties,Litchfield County,2018,owner,p1,12863,0.225
2_counties,Litchfield County,2018,owner,p2,23047,0.404
2_counties,Litchfield County,2018,owner,p3,8905,0.156
2_counties,Litchfield County,2018,owner,p4_or_more,12264,0.215
2_counties,Middlesex County,2000,owner,total,44225,NA
2_counties,Middlesex County,2000,owner,p1,8882,0.201
2_counties,Middlesex County,2000,owner,p2,16446,0.372
2_counties,Middlesex County,2000,owner,p3,7735,0.175
2_counties,Middlesex County,2000,owner,p4_or_more,11162,0.252
2_counties,Middlesex County,2010,owner,total,50796,NA
2_counties,Middlesex County,2010,owner,p1,10593,0.209
2_counties,Middlesex County,2010,owner,p2,19334,0.381
2_counties,Middlesex County,2010,owner,p3,8215,0.162
2_counties,Middlesex County,2010,owner,p4_or_more,12654,0.249
2_counties,Middlesex County,2018,owner,total,49262,NA
2_counties,Middlesex County,2018,owner,p1,11144,0.226
2_counties,Middlesex County,2018,owner,p2,20069,0.407
2_counties,Middlesex County,2018,owner,p3,8245,0.167
2_counties,Middlesex County,2018,owner,p4_or_more,9804,0.199
2_counties,New Haven County,2000,owner,total,201317,NA
2_counties,New Haven County,2000,owner,p1,41532,0.206
2_counties,New Haven County,2000,owner,p2,69701,0.346
2_counties,New Haven County,2000,owner,p3,35696,0.177
2_counties,New Haven County,2000,owner,p4_or_more,54388,0.27
2_counties,New Haven County,2010,owner,total,216131,NA
2_counties,New Haven County,2010,owner,p1,46311,0.214
2_counties,New Haven County,2010,owner,p2,74891,0.347
2_counties,New Haven County,2010,owner,p3,38324,0.177
2_counties,New Haven County,2010,owner,p4_or_more,56605,0.262
2_counties,New Haven County,2018,owner,total,204295,NA
2_counties,New Haven County,2018,owner,p1,48790,0.239
2_counties,New Haven County,2018,owner,p2,75424,0.369
2_counties,New Haven County,2018,owner,p3,34945,0.171
2_counties,New Haven County,2018,owner,p4_or_more,45136,0.221
2_counties,New London County,2000,owner,total,66562,NA
2_counties,New London County,2000,owner,p1,13311,0.2
2_counties,New London County,2000,owner,p2,24958,0.375
2_counties,New London County,2000,owner,p3,11607,0.174
2_counties,New London County,2000,owner,p4_or_more,16686,0.251
2_counties,New London County,2010,owner,total,74246,NA
2_counties,New London County,2010,owner,p1,15528,0.209
2_counties,New London County,2010,owner,p2,28908,0.389
2_counties,New London County,2010,owner,p3,11951,0.161
2_counties,New London County,2010,owner,p4_or_more,17859,0.241
2_counties,New London County,2018,owner,total,71459,NA
2_counties,New London County,2018,owner,p1,16753,0.234
2_counties,New London County,2018,owner,p2,28869,0.404
2_counties,New London County,2018,owner,p3,11136,0.156
2_counties,New London County,2018,owner,p4_or_more,14701,0.206
2_counties,Tolland County,2000,owner,total,36309,NA
2_counties,Tolland County,2000,owner,p1,5949,0.164
2_counties,Tolland County,2000,owner,p2,13524,0.372
2_counties,Tolland County,2000,owner,p3,6470,0.178
2_counties,Tolland County,2000,owner,p4_or_more,10366,0.285
2_counties,Tolland County,2010,owner,total,41615,NA
2_counties,Tolland County,2010,owner,p1,6828,0.164
2_counties,Tolland County,2010,owner,p2,15794,0.38
2_counties,Tolland County,2010,owner,p3,7571,0.182
2_counties,Tolland County,2010,owner,p4_or_more,11422,0.274
2_counties,Tolland County,2018,owner,total,39798,NA
2_counties,Tolland County,2018,owner,p1,7710,0.194
2_counties,Tolland County,2018,owner,p2,16607,0.417
2_counties,Tolland County,2018,owner,p3,6711,0.169
2_counties,Tolland County,2018,owner,p4_or_more,8770,0.22
2_counties,Windham County,2000,owner,total,27736,NA
2_counties,Windham County,2000,owner,p1,4923,0.177
2_counties,Windham County,2000,owner,p2,10160,0.366
2_counties,Windham County,2000,owner,p3,5078,0.183
2_counties,Windham County,2000,owner,p4_or_more,7575,0.273
2_counties,Windham County,2010,owner,total,31366,NA
2_counties,Windham County,2010,owner,p1,6084,0.194
2_counties,Windham County,2010,owner,p2,11835,0.377
2_counties,Windham County,2010,owner,p3,5493,0.175
2_counties,Windham County,2010,owner,p4_or_more,7954,0.254
2_counties,Windham County,2018,owner,total,30960,NA
2_counties,Windham County,2018,owner,p1,6571,0.212
2_counties,Windham County,2018,owner,p2,12955,0.418
2_counties,Windham County,2018,owner,p3,4925,0.159
2_counties,Windham County,2018,owner,p4_or_more,6509,0.21
3_towns,Andover,2000,owner,total,1000,NA
3_towns,Andover,2000,owner,p1,146,0.146
3_towns,Andover,2000,owner,p2,377,0.377
3_towns,Andover,2000,owner,p3,184,0.184
3_towns,Andover,2000,owner,p4_or_more,293,0.293
3_towns,Andover,2010,owner,total,1144,NA
3_towns,Andover,2010,owner,p1,212,0.185
3_towns,Andover,2010,owner,p2,505,0.441
3_towns,Andover,2010,owner,p3,152,0.133
3_towns,Andover,2010,owner,p4_or_more,275,0.24
3_towns,Andover,2018,owner,total,1079,NA
3_towns,Andover,2018,owner,p1,170,0.158
3_towns,Andover,2018,owner,p2,408,0.378
3_towns,Andover,2018,owner,p3,265,0.246
3_towns,Andover,2018,owner,p4_or_more,236,0.219
3_towns,Ansonia,2000,owner,total,4171,NA
3_towns,Ansonia,2000,owner,p1,897,0.215
3_towns,Ansonia,2000,owner,p2,1447,0.347
3_towns,Ansonia,2000,owner,p3,763,0.183
3_towns,Ansonia,2000,owner,p4_or_more,1064,0.255
3_towns,Ansonia,2010,owner,total,4610,NA
3_towns,Ansonia,2010,owner,p1,1094,0.237
3_towns,Ansonia,2010,owner,p2,1508,0.327
3_towns,Ansonia,2010,owner,p3,914,0.198
3_towns,Ansonia,2010,owner,p4_or_more,1094,0.237
3_towns,Ansonia,2018,owner,total,4431,NA
3_towns,Ansonia,2018,owner,p1,1270,0.287
3_towns,Ansonia,2018,owner,p2,1597,0.36
3_towns,Ansonia,2018,owner,p3,597,0.135
3_towns,Ansonia,2018,owner,p4_or_more,967,0.218
3_towns,Ashford,2000,owner,total,1156,NA
3_towns,Ashford,2000,owner,p1,184,0.159
3_towns,Ashford,2000,owner,p2,419,0.362
3_towns,Ashford,2000,owner,p3,215,0.186
3_towns,Ashford,2000,owner,p4_or_more,338,0.292
3_towns,Ashford,2010,owner,total,1349,NA
3_towns,Ashford,2010,owner,p1,299,0.222
3_towns,Ashford,2010,owner,p2,536,0.397
3_towns,Ashford,2010,owner,p3,225,0.167
3_towns,Ashford,2010,owner,p4_or_more,289,0.214
