level,name,year,tenure,hhlds,value,share
1_state,Connecticut,2000,renter,total,431941,NA
1_state,Connecticut,2000,renter,1-person,172489,0.399
1_state,Connecticut,2000,renter,2-person,116781,0.27
1_state,Connecticut,2000,renter,3-person,63592,0.147
1_state,Connecticut,2000,renter,4-person or more,79079,0.183
1_state,Connecticut,2010,renter,total,419234,NA
1_state,Connecticut,2010,renter,1-person,171653,0.409
1_state,Connecticut,2010,renter,2-person,112607,0.269
1_state,Connecticut,2010,renter,3-person,61329,0.146
1_state,Connecticut,2010,renter,4-person or more,73645,0.176
1_state,Connecticut,2018,renter,total,460240,NA
1_state,Connecticut,2018,renter,1-person,189231,0.411
1_state,Connecticut,2018,renter,2-person,122373,0.266
1_state,Connecticut,2018,renter,3-person,67647,0.147
1_state,Connecticut,2018,renter,4-person or more,80989,0.176
2_counties,Fairfield County,2000,renter,total,99716,NA
2_counties,Fairfield County,2000,renter,1-person,35503,0.356
2_counties,Fairfield County,2000,renter,2-person,26560,0.266
2_counties,Fairfield County,2000,renter,3-person,15384,0.154
2_counties,Fairfield County,2000,renter,4-person or more,22269,0.223
2_counties,Fairfield County,2010,renter,total,97363,NA
2_counties,Fairfield County,2010,renter,1-person,37385,0.384
2_counties,Fairfield County,2010,renter,2-person,24005,0.247
2_counties,Fairfield County,2010,renter,3-person,15315,0.157
2_counties,Fairfield County,2010,renter,4-person or more,20658,0.212
2_counties,Fairfield County,2018,renter,total,111322,NA
2_counties,Fairfield County,2018,renter,1-person,38810,0.349
2_counties,Fairfield County,2018,renter,2-person,28197,0.253
2_counties,Fairfield County,2018,renter,3-person,18659,0.168
2_counties,Fairfield County,2018,renter,4-person or more,25656,0.23
2_counties,Hartford County,2000,renter,total,119823,NA
2_counties,Hartford County,2000,renter,1-person,49033,0.409
2_counties,Hartford County,2000,renter,2-person,32143,0.268
2_counties,Hartford County,2000,renter,3-person,17571,0.147
2_counties,Hartford County,2000,renter,4-person or more,21076,0.176
2_counties,Hartford County,2010,renter,total,116559,NA
2_counties,Hartford County,2010,renter,1-person,48031,0.412
2_counties,Hartford County,2010,renter,2-person,31047,0.266
2_counties,Hartford County,2010,renter,3-person,17640,0.151
2_counties,Hartford County,2010,renter,4-person or more,19841,0.17
2_counties,Hartford County,2018,renter,total,123952,NA
2_counties,Hartford County,2018,renter,1-person,52135,0.421
2_counties,Hartford County,2018,renter,2-person,32332,0.261
2_counties,Hartford County,2018,renter,3-person,18438,0.149
2_counties,Hartford County,2018,renter,4-person or more,21047,0.17
2_counties,Litchfield County,2000,renter,total,17762,NA
2_counties,Litchfield County,2000,renter,1-person,7838,0.441
2_counties,Litchfield County,2000,renter,2-person,4984,0.281
2_counties,Litchfield County,2000,renter,3-person,2327,0.131
2_counties,Litchfield County,2000,renter,4-person or more,2613,0.147
2_counties,Litchfield County,2010,renter,total,16343,NA
2_counties,Litchfield County,2010,renter,1-person,7855,0.481
2_counties,Litchfield County,2010,renter,2-person,4286,0.262
2_counties,Litchfield County,2010,renter,3-person,1901,0.116
2_counties,Litchfield County,2010,renter,4-person or more,2301,0.141
2_counties,Litchfield County,2018,renter,total,16908,NA
2_counties,Litchfield County,2018,renter,1-person,7588,0.449
2_counties,Litchfield County,2018,renter,2-person,4829,0.286
2_counties,Litchfield County,2018,renter,3-person,1869,0.111
2_counties,Litchfield County,2018,renter,4-person or more,2622,0.155
2_counties,Middlesex County,2000,renter,total,17116,NA
2_counties,Middlesex County,2000,renter,1-person,7833,0.458
2_counties,Middlesex County,2000,renter,2-person,4965,0.29
2_counties,Middlesex County,2000,renter,3-person,2152,0.126
2_counties,Middlesex County,2000,renter,4-person or more,2166,0.127
2_counties,Middlesex County,2010,renter,total,16179,NA
2_counties,Middlesex County,2010,renter,1-person,7282,0.45
2_counties,Middlesex County,2010,renter,2-person,4828,0.298
2_counties,Middlesex County,2010,renter,3-person,2029,0.125
2_counties,Middlesex County,2010,renter,4-person or more,2040,0.126
2_counties,Middlesex County,2018,renter,total,17630,NA
2_counties,Middlesex County,2018,renter,1-person,8281,0.47
2_counties,Middlesex County,2018,renter,2-person,4913,0.279
2_counties,Middlesex County,2018,renter,3-person,2269,0.129
2_counties,Middlesex County,2018,renter,4-person or more,2167,0.123
2_counties,New Haven County,2000,renter,total,117723,NA
2_counties,New Haven County,2000,renter,1-person,48554,0.412
2_counties,New Haven County,2000,renter,2-person,31227,0.265
2_counties,New Haven County,2000,renter,3-person,17107,0.145
2_counties,New Haven County,2000,renter,4-person or more,20835,0.177
2_counties,New Haven County,2010,renter,total,114654,NA
2_counties,New Haven County,2010,renter,1-person,47615,0.415
2_counties,New Haven County,2010,renter,2-person,31661,0.276
2_counties,New Haven County,2010,renter,3-person,16114,0.141
2_counties,New Haven County,2010,renter,4-person or more,19264,0.168
2_counties,New Haven County,2018,renter,total,125562,NA
2_counties,New Haven County,2018,renter,1-person,55903,0.445
2_counties,New Haven County,2018,renter,2-person,34070,0.271
2_counties,New Haven County,2018,renter,3-person,16512,0.132
2_counties,New Haven County,2018,renter,4-person or more,19077,0.152
2_counties,New London County,2000,renter,total,33273,NA
2_counties,New London County,2000,renter,1-person,12999,0.391
2_counties,New London County,2000,renter,2-person,9201,0.277
2_counties,New London County,2000,renter,3-person,5104,0.153
2_counties,New London County,2000,renter,4-person or more,5969,0.179
2_counties,New London County,2010,renter,total,32344,NA
2_counties,New London County,2010,renter,1-person,13197,0.408
2_counties,New London County,2010,renter,2-person,8731,0.27
2_counties,New London County,2010,renter,3-person,4990,0.154
2_counties,New London County,2010,renter,4-person or more,5426,0.168
2_counties,New London County,2018,renter,total,35943,NA
2_counties,New London County,2018,renter,1-person,14563,0.405
2_counties,New London County,2018,renter,2-person,9595,0.267
2_counties,New London County,2018,renter,3-person,6199,0.172
2_counties,New London County,2018,renter,4-person or more,5586,0.155
2_counties,Tolland County,2000,renter,total,13122,NA
2_counties,Tolland County,2000,renter,1-person,5655,0.431
2_counties,Tolland County,2000,renter,2-person,3963,0.302
2_counties,Tolland County,2000,renter,3-person,1831,0.14
2_counties,Tolland County,2000,renter,4-person or more,1673,0.127
2_counties,Tolland County,2010,renter,total,12837,NA
2_counties,Tolland County,2010,renter,1-person,5286,0.412
2_counties,Tolland County,2010,renter,2-person,4284,0.334
2_counties,Tolland County,2010,renter,3-person,1693,0.132
2_counties,Tolland County,2010,renter,4-person or more,1574,0.123
2_counties,Tolland County,2018,renter,total,15434,NA
2_counties,Tolland County,2018,renter,1-person,6549,0.424
2_counties,Tolland County,2018,renter,2-person,4886,0.317
2_counties,Tolland County,2018,renter,3-person,1941,0.126
