level,name,year,group,value,share
1_state,Connecticut,2000,total_households,1301670,NA
1_state,Connecticut,2000,living_alone,344224,0.264
1_state,Connecticut,2000,married_w_kids,307126,0.236
1_state,Connecticut,2000,married_no_kids,369341,0.284
1_state,Connecticut,2000,single_w_kids,112159,0.086
1_state,Connecticut,2000,other_households,168820,0.13
1_state,Connecticut,2010,total_households,1359218,NA
1_state,Connecticut,2010,living_alone,369552,0.272
1_state,Connecticut,2010,married_w_kids,302764,0.223
1_state,Connecticut,2010,married_no_kids,384696,0.283
1_state,Connecticut,2010,single_w_kids,122797,0.09
1_state,Connecticut,2010,other_households,179409,0.132
1_state,Connecticut,2018,total_households,1367374,NA
1_state,Connecticut,2018,living_alone,390350,0.285
1_state,Connecticut,2018,married_w_kids,256597,0.188
1_state,Connecticut,2018,married_no_kids,403767,0.295
1_state,Connecticut,2018,single_w_kids,116440,0.085
1_state,Connecticut,2018,other_households,200220,0.146
2_counties,Fairfield County,2000,total_households,324232,NA
2_counties,Fairfield County,2000,living_alone,77918,0.24
2_counties,Fairfield County,2000,married_w_kids,86972,0.268
2_counties,Fairfield County,2000,married_no_kids,92828,0.286
2_counties,Fairfield County,2000,single_w_kids,23976,0.074
2_counties,Fairfield County,2000,other_households,42538,0.131
2_counties,Fairfield County,2010,total_households,331782,NA
2_counties,Fairfield County,2010,living_alone,85151,0.257
2_counties,Fairfield County,2010,married_w_kids,88988,0.268
2_counties,Fairfield County,2010,married_no_kids,90348,0.272
2_counties,Fairfield County,2010,single_w_kids,26152,0.079
2_counties,Fairfield County,2010,other_households,41143,0.124
2_counties,Fairfield County,2018,total_households,340491,NA
2_counties,Fairfield County,2018,living_alone,84627,0.249
2_counties,Fairfield County,2018,married_w_kids,81390,0.239
2_counties,Fairfield County,2018,married_no_kids,100537,0.295
2_counties,Fairfield County,2018,single_w_kids,27250,0.08
2_counties,Fairfield County,2018,other_households,46687,0.137
2_counties,Hartford County,2000,total_households,335098,NA
2_counties,Hartford County,2000,living_alone,93515,0.279
2_counties,Hartford County,2000,married_w_kids,72168,0.215
2_counties,Hartford County,2000,married_no_kids,92628,0.276
2_counties,Hartford County,2000,single_w_kids,32640,0.097
2_counties,Hartford County,2000,other_households,44147,0.132
2_counties,Hartford County,2010,total_households,347625,NA
2_counties,Hartford County,2010,living_alone,100328,0.289
2_counties,Hartford County,2010,married_w_kids,70204,0.202
2_counties,Hartford County,2010,married_no_kids,93001,0.268
2_counties,Hartford County,2010,single_w_kids,35307,0.102
2_counties,Hartford County,2010,other_households,48785,0.14
2_counties,Hartford County,2018,total_households,349064,NA
2_counties,Hartford County,2018,living_alone,103606,0.297
2_counties,Hartford County,2018,married_w_kids,63059,0.181
2_counties,Hartford County,2018,married_no_kids,96689,0.277
2_counties,Hartford County,2018,single_w_kids,32584,0.093
2_counties,Hartford County,2018,other_households,53126,0.152
2_counties,Litchfield County,2000,total_households,71551,NA
2_counties,Litchfield County,2000,living_alone,18079,0.253
2_counties,Litchfield County,2000,married_w_kids,18280,0.255
2_counties,Litchfield County,2000,married_no_kids,22645,0.316
2_counties,Litchfield County,2000,single_w_kids,4687,0.066
2_counties,Litchfield County,2000,other_households,7860,0.11
2_counties,Litchfield County,2010,total_households,76688,NA
2_counties,Litchfield County,2010,living_alone,20347,0.265
2_counties,Litchfield County,2010,married_w_kids,17481,0.228
2_counties,Litchfield County,2010,married_no_kids,25304,0.33
2_counties,Litchfield County,2010,single_w_kids,5177,0.068
2_counties,Litchfield County,2010,other_households,8379,0.109
