level,name,year,group,value,change_from_prev_data_year
1_state,Connecticut,2000,married_w_kids,307126,0
1_state,Connecticut,2000,married_no_kids,369341,0
1_state,Connecticut,2000,single_w_kids,112159,0
1_state,Connecticut,2000,living_alone,344224,0
1_state,Connecticut,2000,other_households,168820,0
1_state,Connecticut,2000,total_households,1301670,0
1_state,Connecticut,2010,married_w_kids,302764,-4362
1_state,Connecticut,2010,married_no_kids,384696,15355
1_state,Connecticut,2010,single_w_kids,122797,10638
1_state,Connecticut,2010,living_alone,369552,25328
1_state,Connecticut,2010,other_households,179409,10589
1_state,Connecticut,2010,total_households,1359218,57548
1_state,Connecticut,2018,married_w_kids,256597,-46167
1_state,Connecticut,2018,married_no_kids,403767,19071
1_state,Connecticut,2018,single_w_kids,116440,-6357
1_state,Connecticut,2018,living_alone,390350,20798
1_state,Connecticut,2018,other_households,200220,20811
1_state,Connecticut,2018,total_households,1367374,8156
2_counties,Fairfield County,2000,married_w_kids,86972,0
2_counties,Hartford County,2000,married_w_kids,72168,-9222
2_counties,Litchfield County,2000,married_w_kids,18280,-44779
2_counties,Middlesex County,2000,married_w_kids,14698,1341
2_counties,New Haven County,2000,married_w_kids,68845,57087
2_counties,New London County,2000,married_w_kids,23365,-28197
2_counties,Tolland County,2000,married_w_kids,13167,-4612
2_counties,Windham County,2000,married_w_kids,9631,-1046
2_counties,Fairfield County,2000,married_no_kids,92828,0
2_counties,Hartford County,2000,married_no_kids,92628,-7909
2_counties,Litchfield County,2000,married_no_kids,22645,-74044
2_counties,Middlesex County,2000,married_no_kids,18648,-7002
2_counties,New Haven County,2000,married_no_kids,86160,63667
2_counties,New London County,2000,married_no_kids,29062,-63836
2_counties,Tolland County,2000,married_no_kids,15492,-17517
2_counties,Windham County,2000,married_no_kids,11878,-6374
2_counties,Fairfield County,2000,single_w_kids,23976,0
2_counties,Hartford County,2000,single_w_kids,32640,5390
2_counties,Litchfield County,2000,single_w_kids,4687,-27897
2_counties,Middlesex County,2000,single_w_kids,3887,-478
2_counties,New Haven County,2000,single_w_kids,30581,26187
2_counties,New London County,2000,single_w_kids,8940,-20777
2_counties,Tolland County,2000,single_w_kids,3276,-6912
2_counties,Windham County,2000,single_w_kids,4172,672
2_counties,Fairfield County,2000,living_alone,77918,0
2_counties,Hartford County,2000,living_alone,93515,8888
2_counties,Litchfield County,2000,living_alone,18079,-85527
2_counties,Middlesex County,2000,living_alone,16715,-3736
2_counties,New Haven County,2000,living_alone,90086,70661
2_counties,New London County,2000,living_alone,26310,-78383
2_counties,Tolland County,2000,living_alone,11604,-19712
2_counties,Windham County,2000,living_alone,9997,-4262
2_counties,Fairfield County,2000,other_households,42538,0
2_counties,Hartford County,2000,other_households,44147,-2540
2_counties,Litchfield County,2000,other_households,7860,-45266
2_counties,Middlesex County,2000,other_households,7393,-2771
2_counties,New Haven County,2000,other_households,43368,34546
2_counties,New London County,2000,other_households,12158,-38829
2_counties,Tolland County,2000,other_households,5892,-9218
2_counties,Windham County,2000,other_households,5464,-3080
2_counties,Fairfield County,2000,total_households,324232,0
2_counties,Hartford County,2000,total_households,335098,-5393
2_counties,Litchfield County,2000,total_households,71551,-277513
2_counties,Middlesex County,2000,total_households,61341,-12646
2_counties,New Haven County,2000,total_households,319040,252148
2_counties,New London County,2000,total_households,99835,-230022
2_counties,Tolland County,2000,total_households,49431,-57971
2_counties,Windham County,2000,total_households,41142,-14090
2_counties,Fairfield County,2010,married_w_kids,88988,2016
2_counties,Hartford County,2010,married_w_kids,70204,-1964
2_counties,Litchfield County,2010,married_w_kids,17481,-799
2_counties,Middlesex County,2010,married_w_kids,15084,386
2_counties,New Haven County,2010,married_w_kids,66653,-2192
2_counties,New London County,2010,married_w_kids,21763,-1602
2_counties,Tolland County,2010,married_w_kids,13478,311
2_counties,Windham County,2010,married_w_kids,9113,-518
2_counties,Fairfield County,2010,married_no_kids,90348,-2480
2_counties,Hartford County,2010,married_no_kids,93001,373
2_counties,Litchfield County,2010,married_no_kids,25304,2659
2_counties,Middlesex County,2010,married_no_kids,21393,2745
2_counties,New Haven County,2010,married_no_kids,90087,3927
2_counties,New London County,2010,married_no_kids,32842,3780
2_counties,Tolland County,2010,married_no_kids,18295,2803
2_counties,Windham County,2010,married_no_kids,13426,1548
2_counties,Fairfield County,2010,single_w_kids,26152,2176
2_counties,Hartford County,2010,single_w_kids,35307,2667
2_counties,Litchfield County,2010,single_w_kids,5177,490
2_counties,Middlesex County,2010,single_w_kids,4591,704
2_counties,New Haven County,2010,single_w_kids,33484,2903
2_counties,New London County,2010,single_w_kids,9736,796
2_counties,Tolland County,2010,single_w_kids,3732,456
2_counties,Windham County,2010,single_w_kids,4618,446
2_counties,Fairfield County,2010,living_alone,85151,7233
2_counties,Hartford County,2010,living_alone,100328,6813
2_counties,Litchfield County,2010,living_alone,20347,2268
2_counties,Middlesex County,2010,living_alone,17875,1160
2_counties,New Haven County,2010,living_alone,93926,3840
2_counties,New London County,2010,living_alone,28725,2415
2_counties,Tolland County,2010,living_alone,12114,510
2_counties,Windham County,2010,living_alone,11086,1089
2_counties,Fairfield County,2010,other_households,41143,-1395
2_counties,Hartford County,2010,other_households,48785,4638
2_counties,Litchfield County,2010,other_households,8379,519
2_counties,Middlesex County,2010,other_households,8032,639
2_counties,New Haven County,2010,other_households,46635,3267
2_counties,New London County,2010,other_households,13524,1366
2_counties,Tolland County,2010,other_households,6833,941
2_counties,Windham County,2010,other_households,6078,614
2_counties,Fairfield County,2010,total_households,331782,7550
2_counties,Hartford County,2010,total_households,347625,12527
2_counties,Litchfield County,2010,total_households,76688,5137
2_counties,Middlesex County,2010,total_households,66975,5634
2_counties,New Haven County,2010,total_households,330785,11745
2_counties,New London County,2010,total_households,106590,6755
2_counties,Tolland County,2010,total_households,54452,5021
2_counties,Windham County,2010,total_households,44321,3179
2_counties,Fairfield County,2018,married_w_kids,81390,-7598
2_counties,Hartford County,2018,married_w_kids,63059,-7145
2_counties,Litchfield County,2018,married_w_kids,13357,-4124
2_counties,Middlesex County,2018,married_w_kids,11758,-3326
2_counties,New Haven County,2018,married_w_kids,51562,-15091
2_counties,New London County,2018,married_w_kids,17779,-3984
2_counties,Tolland County,2018,married_w_kids,10677,-2801
2_counties,Windham County,2018,married_w_kids,7015,-2098
2_counties,Fairfield County,2018,married_no_kids,100537,10189
2_counties,Hartford County,2018,married_no_kids,96689,3688
2_counties,Litchfield County,2018,married_no_kids,25650,346
2_counties,Middlesex County,2018,married_no_kids,22493,1100
2_counties,New Haven County,2018,married_no_kids,92898,2811
2_counties,New London County,2018,married_no_kids,33009,167
2_counties,Tolland County,2018,married_no_kids,18252,-43
2_counties,Windham County,2018,married_no_kids,14239,813
2_counties,Fairfield County,2018,single_w_kids,27250,1098
2_counties,Hartford County,2018,single_w_kids,32584,-2723
2_counties,Litchfield County,2018,single_w_kids,4365,-812
2_counties,Middlesex County,2018,single_w_kids,4394,-197
2_counties,New Haven County,2018,single_w_kids,29717,-3767
2_counties,New London County,2018,single_w_kids,10188,452
2_counties,Tolland County,2018,single_w_kids,3500,-232
2_counties,Windham County,2018,single_w_kids,4442,-176
2_counties,Fairfield County,2018,living_alone,84627,-524
2_counties,Hartford County,2018,living_alone,103606,3278
2_counties,Litchfield County,2018,living_alone,20451,104
2_counties,Middlesex County,2018,living_alone,19425,1550
2_counties,New Haven County,2018,living_alone,104693,10767
2_counties,New London County,2018,living_alone,31316,2591
2_counties,Tolland County,2018,living_alone,14259,2145
2_counties,Windham County,2018,living_alone,11973,887
2_counties,Fairfield County,2018,other_households,46687,5544
2_counties,Hartford County,2018,other_households,53126,4341
2_counties,Litchfield County,2018,other_households,10164,1785
2_counties,Middlesex County,2018,other_households,8822,790
2_counties,New Haven County,2018,other_households,50987,4352
2_counties,New London County,2018,other_households,15110,1586
2_counties,Tolland County,2018,other_households,8544,1711
2_counties,Windham County,2018,other_households,6780,702
2_counties,Fairfield County,2018,total_households,340491,8709
2_counties,Hartford County,2018,total_households,349064,1439
2_counties,Litchfield County,2018,total_households,73987,-2701
2_counties,Middlesex County,2018,total_households,66892,-83
2_counties,New Haven County,2018,total_households,329857,-928
2_counties,New London County,2018,total_households,107402,812
2_counties,Tolland County,2018,total_households,55232,780
2_counties,Windham County,2018,total_households,44449,128
3_towns,Andover,2000,married_w_kids,361,0
3_towns,Ansonia,2000,married_w_kids,1522,1285
3_towns,Ashford,2000,married_w_kids,430,-581
3_towns,Avon,2000,married_w_kids,1885,1604
3_towns,Barkhamsted,2000,married_w_kids,414,-1765
