level,year,name,county,units,value
1_state,2001,Connecticut,NA,1 unit,7835
1_state,2001,Connecticut,NA,2 to 4 units,309
1_state,2001,Connecticut,NA,5+ units,1146
1_state,2002,Connecticut,NA,1 unit,8484
1_state,2002,Connecticut,NA,2 to 4 units,249
1_state,2002,Connecticut,NA,5+ units,998
1_state,2003,Connecticut,NA,1 unit,8180
1_state,2003,Connecticut,NA,2 to 4 units,392
1_state,2003,Connecticut,NA,5+ units,1863
1_state,2004,Connecticut,NA,1 unit,9263
1_state,2004,Connecticut,NA,2 to 4 units,377
1_state,2004,Connecticut,NA,5+ units,2197
1_state,2005,Connecticut,NA,1 unit,8817
1_state,2005,Connecticut,NA,2 to 4 units,345
1_state,2005,Connecticut,NA,5+ units,2723
1_state,2006,Connecticut,NA,1 unit,7107
1_state,2006,Connecticut,NA,2 to 4 units,395
1_state,2006,Connecticut,NA,5+ units,1734
1_state,2007,Connecticut,NA,1 unit,5348
1_state,2007,Connecticut,NA,2 to 4 units,378
1_state,2007,Connecticut,NA,5+ units,2020
1_state,2008,Connecticut,NA,1 unit,3139
1_state,2008,Connecticut,NA,2 to 4 units,211
1_state,2008,Connecticut,NA,5+ units,1870
1_state,2009,Connecticut,NA,1 unit,2442
1_state,2009,Connecticut,NA,2 to 4 units,137
1_state,2009,Connecticut,NA,5+ units,1207
1_state,2010,Connecticut,NA,1 unit,2632
1_state,2010,Connecticut,NA,2 to 4 units,156
1_state,2010,Connecticut,NA,5+ units,1144
1_state,2011,Connecticut,NA,1 unit,2162
1_state,2011,Connecticut,NA,2 to 4 units,248
1_state,2011,Connecticut,NA,5+ units,763
1_state,2012,Connecticut,NA,1 unit,2534
1_state,2012,Connecticut,NA,2 to 4 units,143
1_state,2012,Connecticut,NA,5+ units,1992
1_state,2013,Connecticut,NA,1 unit,2855
1_state,2013,Connecticut,NA,2 to 4 units,301
1_state,2013,Connecticut,NA,5+ units,2268
1_state,2014,Connecticut,NA,1 unit,2760
1_state,2014,Connecticut,NA,2 to 4 units,323
1_state,2014,Connecticut,NA,5+ units,2246
1_state,2015,Connecticut,NA,1 unit,2436
1_state,2015,Connecticut,NA,2 to 4 units,148
1_state,2015,Connecticut,NA,5+ units,3493
1_state,2016,Connecticut,NA,1 unit,2461
1_state,2016,Connecticut,NA,2 to 4 units,201
1_state,2016,Connecticut,NA,5+ units,2842
1_state,2017,Connecticut,NA,1 unit,2480
1_state,2017,Connecticut,NA,2 to 4 units,155
1_state,2017,Connecticut,NA,5+ units,1912
2_counties,2001,Fairfield County,NA,1 unit,1521
2_counties,2001,Fairfield County,NA,2 to 4 units,68
2_counties,2001,Fairfield County,NA,5+ units,631
2_counties,2001,Hartford County,NA,1 unit,1732
2_counties,2001,Hartford County,NA,2 to 4 units,128
2_counties,2001,Hartford County,NA,5+ units,166
2_counties,2001,Litchfield County,NA,1 unit,743
2_counties,2001,Litchfield County,NA,2 to 4 units,3
2_counties,2001,Litchfield County,NA,5+ units,18
2_counties,2001,Middlesex County,NA,1 unit,722
2_counties,2001,Middlesex County,NA,2 to 4 units,0
2_counties,2001,Middlesex County,NA,5+ units,77
2_counties,2001,New Haven County,NA,1 unit,1363
2_counties,2001,New Haven County,NA,2 to 4 units,80
2_counties,2001,New Haven County,NA,5+ units,143
2_counties,2001,New London County,NA,1 unit,766
2_counties,2001,New London County,NA,2 to 4 units,16
2_counties,2001,New London County,NA,5+ units,0
2_counties,2001,Tolland County,NA,1 unit,560
2_counties,2001,Tolland County,NA,2 to 4 units,14
2_counties,2001,Tolland County,NA,5+ units,105
2_counties,2001,Windham County,NA,1 unit,428
2_counties,2001,Windham County,NA,2 to 4 units,0
2_counties,2001,Windham County,NA,5+ units,6
2_counties,2002,Fairfield County,NA,1 unit,1598
2_counties,2002,Fairfield County,NA,2 to 4 units,78
2_counties,2002,Fairfield County,NA,5+ units,203
2_counties,2002,Hartford County,NA,1 unit,1859
2_counties,2002,Hartford County,NA,2 to 4 units,88
2_counties,2002,Hartford County,NA,5+ units,337
2_counties,2002,Litchfield County,NA,1 unit,776
2_counties,2002,Litchfield County,NA,2 to 4 units,4
2_counties,2002,Litchfield County,NA,5+ units,27
2_counties,2002,Middlesex County,NA,1 unit,677
2_counties,2002,Middlesex County,NA,2 to 4 units,5
2_counties,2002,Middlesex County,NA,5+ units,138
2_counties,2002,New Haven County,NA,1 unit,1602
2_counties,2002,New Haven County,NA,2 to 4 units,26
2_counties,2002,New Haven County,NA,5+ units,73
2_counties,2002,New London County,NA,1 unit,845
2_counties,2002,New London County,NA,2 to 4 units,22
2_counties,2002,New London County,NA,5+ units,89
2_counties,2002,Tolland County,NA,1 unit,597
2_counties,2002,Tolland County,NA,2 to 4 units,14
2_counties,2002,Tolland County,NA,5+ units,131
2_counties,2002,Windham County,NA,1 unit,530
2_counties,2002,Windham County,NA,2 to 4 units,12
2_counties,2002,Windham County,NA,5+ units,0
2_counties,2003,Fairfield County,NA,1 unit,1550
2_counties,2003,Fairfield County,NA,2 to 4 units,104
2_counties,2003,Fairfield County,NA,5+ units,310
2_counties,2003,Hartford County,NA,1 unit,1796
2_counties,2003,Hartford County,NA,2 to 4 units,154
2_counties,2003,Hartford County,NA,5+ units,635
2_counties,2003,Litchfield County,NA,1 unit,697
2_counties,2003,Litchfield County,NA,2 to 4 units,5
2_counties,2003,Litchfield County,NA,5+ units,30
