name,year,minc,minc_se
Connecticut,2000,71824,335.26893033060225
Connecticut,2010,80776,339.7679056935621
Connecticut,2018,81066,404.04848851567135
Fairfield County,2000,87306,771.0741650658323
Fairfield County,2010,99007,881.7771755287281
Fairfield County,2018,102095,861.8856712429692
Hartford County,2000,66751,636.9777570639685
Hartford County,2010,75812,621.9275838040008
Hartford County,2018,76213,682.3334217241661
Litchfield County,2000,73910,1005.5338321601
Litchfield County,2010,80776,1113.1570935631162
Litchfield County,2018,80301,1309.8598359711775
Middlesex County,2000,77541,1354.7777581522364
Middlesex County,2010,85672,1296.2518109456591
Middlesex County,2018,85884,1504.1868014185131
New Haven County,2000,64924,469.347133387934
New Haven County,2010,71597,789.0029605332836
New Haven County,2018,70690,658.5811569721872
New London County,2000,67224,871.5139240940659
New London County,2010,77350,957.9249669524572
New London County,2018,77600,1058.1222991377706
Tolland County,2000,78855,1373.9721116728006
Tolland County,2010,90276,1740.8680386320175
Tolland County,2018,88386,1793.5896575694262
Windham County,2000,61770,1042.5977777384808
Windham County,2010,69895,1329.5820049064093
Windham County,2018,68812,1621.9275473773196
