year,level,geoid,name,county,age,measure,estimate
1990,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,under_5_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,5_to_9_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,10_to_14_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,15_to_19_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,20_to_24_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,25_to_29_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,30_to_34_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,35_to_39_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,40_to_44_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,45_to_49_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,50_to_54_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,55_to_59_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,60_to_64_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,65_to_69_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,70_to_74_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,75_to_79_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,80_to_84_years,pop_change_from_prev_data_year,0
1990,1_state,09,Connecticut,NA,85_years_and_over,pop_change_from_prev_data_year,0
2000,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,118449
2000,1_state,09,Connecticut,NA,under_5_years,pop_change_from_prev_data_year,-5012
2000,1_state,09,Connecticut,NA,5_to_9_years,pop_change_from_prev_data_year,35139
2000,1_state,09,Connecticut,NA,10_to_14_years,pop_change_from_prev_data_year,47215
