level,geoid,name,year,county,var,estimate,moe,share,sharemoe
1_state,09,Connecticut,2000,NA,total_pop,3405565,0,NA,NA
1_state,09,Connecticut,2000,NA,latino,320323,0,0.094,NA
1_state,09,Connecticut,2000,NA,white,2638845,0,0.775,NA
1_state,09,Connecticut,2000,NA,black,295571,0,0.087,NA
1_state,09,Connecticut,2000,NA,asian,81564,0,0.024,NA
1_state,09,Connecticut,2000,NA,other_race,69262,0,0.02,NA
1_state,09,Connecticut,2001,NA,total_pop,3432835,NA,NA,NA
1_state,09,Connecticut,2001,NA,white,2652081,NA,0.773,NA
1_state,09,Connecticut,2001,NA,black,308219,NA,0.09,NA
1_state,09,Connecticut,2001,NA,latino,338119,NA,0.098,NA
1_state,09,Connecticut,2001,NA,asian,90360,NA,0.026,NA
1_state,09,Connecticut,2001,NA,other_race,44056,NA,0.013,NA
1_state,09,Connecticut,2002,NA,total_pop,3458749,NA,NA,NA
1_state,09,Connecticut,2002,NA,white,2649183,NA,0.766,NA
1_state,09,Connecticut,2002,NA,black,313096,NA,0.091,NA
1_state,09,Connecticut,2002,NA,latino,353717,NA,0.102,NA
1_state,09,Connecticut,2002,NA,asian,96724,NA,0.028,NA
1_state,09,Connecticut,2002,NA,other_race,46029,NA,0.013,NA
1_state,09,Connecticut,2003,NA,total_pop,3484336,NA,NA,NA
1_state,09,Connecticut,2003,NA,white,2646218,NA,0.759,NA
1_state,09,Connecticut,2003,NA,black,317527,NA,0.091,NA
1_state,09,Connecticut,2003,NA,latino,369302,NA,0.106,NA
1_state,09,Connecticut,2003,NA,asian,103160,NA,0.03,NA
1_state,09,Connecticut,2003,NA,other_race,48129,NA,0.014,NA
1_state,09,Connecticut,2004,NA,total_pop,3496094,NA,NA,NA
1_state,09,Connecticut,2004,NA,white,2634725,NA,0.754,NA
1_state,09,Connecticut,2004,NA,black,320245,NA,0.092,NA
1_state,09,Connecticut,2004,NA,latino,382912,NA,0.11,NA
1_state,09,Connecticut,2004,NA,asian,108241,NA,0.031,NA
1_state,09,Connecticut,2004,NA,other_race,49971,NA,0.014,NA
1_state,09,Connecticut,2005,NA,total_pop,3506956,NA,NA,NA
1_state,09,Connecticut,2005,NA,white,2621545,NA,0.748,NA
1_state,09,Connecticut,2005,NA,black,323461,NA,0.092,NA
1_state,09,Connecticut,2005,NA,latino,396323,NA,0.113,NA
1_state,09,Connecticut,2005,NA,asian,113866,NA,0.032,NA
1_state,09,Connecticut,2005,NA,other_race,51761,NA,0.015,NA
1_state,09,Connecticut,2006,NA,total_pop,3517460,NA,NA,NA
1_state,09,Connecticut,2006,NA,white,2605095,NA,0.741,NA
1_state,09,Connecticut,2006,NA,black,326710,NA,0.093,NA
1_state,09,Connecticut,2006,NA,latino,412867,NA,0.117,NA
1_state,09,Connecticut,2006,NA,asian,119013,NA,0.034,NA
1_state,09,Connecticut,2006,NA,other_race,53775,NA,0.015,NA
