year,level,geoid,name,county,race,measure,estimate
2000,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,0
2000,1_state,09,Connecticut,NA,latino,pop_change_from_prev_data_year,0
2000,1_state,09,Connecticut,NA,white,pop_change_from_prev_data_year,0
2000,1_state,09,Connecticut,NA,black,pop_change_from_prev_data_year,0
2000,1_state,09,Connecticut,NA,asian,pop_change_from_prev_data_year,0
2000,1_state,09,Connecticut,NA,other_race,pop_change_from_prev_data_year,0
2001,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,27270
2001,1_state,09,Connecticut,NA,latino,pop_change_from_prev_data_year,17796
2001,1_state,09,Connecticut,NA,white,pop_change_from_prev_data_year,13236
2001,1_state,09,Connecticut,NA,black,pop_change_from_prev_data_year,12648
2001,1_state,09,Connecticut,NA,asian,pop_change_from_prev_data_year,8796
2001,1_state,09,Connecticut,NA,other_race,pop_change_from_prev_data_year,-25206
2002,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,25914
2002,1_state,09,Connecticut,NA,latino,pop_change_from_prev_data_year,15598
2002,1_state,09,Connecticut,NA,white,pop_change_from_prev_data_year,-2898
2002,1_state,09,Connecticut,NA,black,pop_change_from_prev_data_year,4877
2002,1_state,09,Connecticut,NA,asian,pop_change_from_prev_data_year,6364
2002,1_state,09,Connecticut,NA,other_race,pop_change_from_prev_data_year,1973
2003,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,25587
2003,1_state,09,Connecticut,NA,latino,pop_change_from_prev_data_year,15585
2003,1_state,09,Connecticut,NA,white,pop_change_from_prev_data_year,-2965
2003,1_state,09,Connecticut,NA,black,pop_change_from_prev_data_year,4431
2003,1_state,09,Connecticut,NA,asian,pop_change_from_prev_data_year,6436
2003,1_state,09,Connecticut,NA,other_race,pop_change_from_prev_data_year,2100
2004,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,11758
2004,1_state,09,Connecticut,NA,latino,pop_change_from_prev_data_year,13610
2004,1_state,09,Connecticut,NA,white,pop_change_from_prev_data_year,-11493
2004,1_state,09,Connecticut,NA,black,pop_change_from_prev_data_year,2718
2004,1_state,09,Connecticut,NA,asian,pop_change_from_prev_data_year,5081
2004,1_state,09,Connecticut,NA,other_race,pop_change_from_prev_data_year,1842
