year,level,geoid,name,county,var,estimate
1990,1_state,09,Connecticut,NA,pop_change,0
2000,1_state,09,Connecticut,NA,pop_change,118449
2001,1_state,09,Connecticut,NA,pop_change,27270
2002,1_state,09,Connecticut,NA,pop_change,25914
2003,1_state,09,Connecticut,NA,pop_change,25587
2004,1_state,09,Connecticut,NA,pop_change,11758
2005,1_state,09,Connecticut,NA,pop_change,10862
2006,1_state,09,Connecticut,NA,pop_change,10504
2007,1_state,09,Connecticut,NA,pop_change,9810
2008,1_state,09,Connecticut,NA,pop_change,18309
2009,1_state,09,Connecticut,NA,pop_change,16228
2010,1_state,09,Connecticut,NA,pop_change,12290
2011,1_state,09,Connecticut,NA,pop_change,-15925
2012,1_state,09,Connecticut,NA,pop_change,14041
2013,1_state,09,Connecticut,NA,pop_change,11348
2014,1_state,09,Connecticut,NA,pop_change,8492
2015,1_state,09,Connecticut,NA,pop_change,1169
2016,1_state,09,Connecticut,NA,pop_change,-4652
2017,1_state,09,Connecticut,NA,pop_change,5908
2018,1_state,09,Connecticut,NA,pop_change,-12974
1990,2_counties,09001,Fairfield County,NA,pop_change,0
2000,2_counties,09001,Fairfield County,NA,pop_change,54922
2001,2_counties,09001,Fairfield County,NA,pop_change,6496
2002,2_counties,09001,Fairfield County,NA,pop_change,3837
2003,2_counties,09001,Fairfield County,NA,pop_change,3442
2004,2_counties,09001,Fairfield County,NA,pop_change,1130
2005,2_counties,09001,Fairfield County,NA,pop_change,181
2006,2_counties,09001,Fairfield County,NA,pop_change,-1399
2007,2_counties,09001,Fairfield County,NA,pop_change,1244
2008,2_counties,09001,Fairfield County,NA,pop_change,6326
2009,2_counties,09001,Fairfield County,NA,pop_change,6597
2010,2_counties,09001,Fairfield County,NA,pop_change,6408
2011,2_counties,09001,Fairfield County,NA,pop_change,-5633
2012,2_counties,09001,Fairfield County,NA,pop_change,7696
2013,2_counties,09001,Fairfield County,NA,pop_change,7341
2014,2_counties,09001,Fairfield County,NA,pop_change,7982
2015,2_counties,09001,Fairfield County,NA,pop_change,5768
2016,2_counties,09001,Fairfield County,NA,pop_change,1635
2017,2_counties,09001,Fairfield County,NA,pop_change,5710
2018,2_counties,09001,Fairfield County,NA,pop_change,-2980
1990,2_counties,09003,Hartford County,NA,pop_change,0
2000,2_counties,09003,Hartford County,NA,pop_change,5400
2001,2_counties,09003,Hartford County,NA,pop_change,5390
2002,2_counties,09003,Hartford County,NA,pop_change,4878
2003,2_counties,09003,Hartford County,NA,pop_change,5884
2004,2_counties,09003,Hartford County,NA,pop_change,1114
2005,2_counties,09003,Hartford County,NA,pop_change,3632
2006,2_counties,09003,Hartford County,NA,pop_change,3217
2007,2_counties,09003,Hartford County,NA,pop_change,3250
2008,2_counties,09003,Hartford County,NA,pop_change,3343
2009,2_counties,09003,Hartford County,NA,pop_change,3776
2010,2_counties,09003,Hartford County,NA,pop_change,2347
2011,2_counties,09003,Hartford County,NA,pop_change,-3426
2012,2_counties,09003,Hartford County,NA,pop_change,2916
2013,2_counties,09003,Hartford County,NA,pop_change,2323
2014,2_counties,09003,Hartford County,NA,pop_change,1547
2015,2_counties,09003,Hartford County,NA,pop_change,-431
2016,2_counties,09003,Hartford County,NA,pop_change,-1244
2017,2_counties,09003,Hartford County,NA,pop_change,1718
2018,2_counties,09003,Hartford County,NA,pop_change,-2687
1990,2_counties,09005,Litchfield County,NA,pop_change,0
2000,2_counties,09005,Litchfield County,NA,pop_change,8101
2001,2_counties,09005,Litchfield County,NA,pop_change,1925
2002,2_counties,09005,Litchfield County,NA,pop_change,1856
2003,2_counties,09005,Litchfield County,NA,pop_change,1450
2004,2_counties,09005,Litchfield County,NA,pop_change,1177
2005,2_counties,09005,Litchfield County,NA,pop_change,311
2006,2_counties,09005,Litchfield County,NA,pop_change,770
2007,2_counties,09005,Litchfield County,NA,pop_change,184
2008,2_counties,09005,Litchfield County,NA,pop_change,309
2009,2_counties,09005,Litchfield County,NA,pop_change,-160
2010,2_counties,09005,Litchfield County,NA,pop_change,-88
2011,2_counties,09005,Litchfield County,NA,pop_change,-208
2012,2_counties,09005,Litchfield County,NA,pop_change,-442
