year,level,geoid,name,county,var,estimate
2010,1_state,09,Connecticut,NA,births,9488
2011,1_state,09,Connecticut,NA,births,37634
2012,1_state,09,Connecticut,NA,births,36855
2013,1_state,09,Connecticut,NA,births,36142
2014,1_state,09,Connecticut,NA,births,36162
2015,1_state,09,Connecticut,NA,births,36321
2016,1_state,09,Connecticut,NA,births,35888
2017,1_state,09,Connecticut,NA,births,35551
2018,1_state,09,Connecticut,NA,births,34883
NA,1_state,09,Connecticut,NA,births,34567
2010,1_state,09,Connecticut,NA,deaths,6847
2011,1_state,09,Connecticut,NA,deaths,29295
2012,1_state,09,Connecticut,NA,deaths,29064
2013,1_state,09,Connecticut,NA,deaths,29756
2014,1_state,09,Connecticut,NA,deaths,29669
2015,1_state,09,Connecticut,NA,deaths,30375
2016,1_state,09,Connecticut,NA,deaths,30116
2017,1_state,09,Connecticut,NA,deaths,31118
2018,1_state,09,Connecticut,NA,deaths,31263
NA,1_state,09,Connecticut,NA,deaths,31149
2010,1_state,09,Connecticut,NA,domesticmig,152
2011,1_state,09,Connecticut,NA,domesticmig,-12024
2012,1_state,09,Connecticut,NA,domesticmig,-17361
2013,1_state,09,Connecticut,NA,domesticmig,-17031
2014,1_state,09,Connecticut,NA,domesticmig,-25086
2015,1_state,09,Connecticut,NA,domesticmig,-29963
2016,1_state,09,Connecticut,NA,domesticmig,-29219
2017,1_state,09,Connecticut,NA,domesticmig,-23724
2018,1_state,09,Connecticut,NA,domesticmig,-23976
NA,1_state,09,Connecticut,NA,domesticmig,-22059
2010,1_state,09,Connecticut,NA,internationalmig,2420
2011,1_state,09,Connecticut,NA,internationalmig,12893
2012,1_state,09,Connecticut,NA,internationalmig,15890
2013,1_state,09,Connecticut,NA,internationalmig,11024
2014,1_state,09,Connecticut,NA,internationalmig,18106
2015,1_state,09,Connecticut,NA,internationalmig,16475
2016,1_state,09,Connecticut,NA,internationalmig,14395
2017,1_state,09,Connecticut,NA,internationalmig,14368
2018,1_state,09,Connecticut,NA,internationalmig,18498
NA,1_state,09,Connecticut,NA,internationalmig,12323
2010,1_state,09,Connecticut,NA,naturalinc,2641
2011,1_state,09,Connecticut,NA,naturalinc,8339
2012,1_state,09,Connecticut,NA,naturalinc,7791
2013,1_state,09,Connecticut,NA,naturalinc,6386
2014,1_state,09,Connecticut,NA,naturalinc,6493
2015,1_state,09,Connecticut,NA,naturalinc,5946
2016,1_state,09,Connecticut,NA,naturalinc,5772
2017,1_state,09,Connecticut,NA,naturalinc,4433
2018,1_state,09,Connecticut,NA,naturalinc,3620
NA,1_state,09,Connecticut,NA,naturalinc,3418
2010,2_counties,09009,New Haven County,NA,births,2257
2011,2_counties,09009,New Haven County,NA,births,9265
2012,2_counties,09009,New Haven County,NA,births,9047
2013,2_counties,09009,New Haven County,NA,births,8912
2014,2_counties,09009,New Haven County,NA,births,8987
2015,2_counties,09009,New Haven County,NA,births,8800
2016,2_counties,09009,New Haven County,NA,births,8832
2017,2_counties,09009,New Haven County,NA,births,8766
2018,2_counties,09009,New Haven County,NA,births,8574
NA,2_counties,09009,New Haven County,NA,births,8512
2013,2_counties,09005,Litchfield County,NA,births,1423
2010,2_counties,09005,Litchfield County,NA,births,416
2011,2_counties,09005,Litchfield County,NA,births,1555
2012,2_counties,09005,Litchfield County,NA,births,1469
2014,2_counties,09005,Litchfield County,NA,births,1424
2015,2_counties,09005,Litchfield County,NA,births,1415
2016,2_counties,09005,Litchfield County,NA,births,1436
2017,2_counties,09005,Litchfield County,NA,births,1410
2018,2_counties,09005,Litchfield County,NA,births,1404
NA,2_counties,09005,Litchfield County,NA,births,1382
2010,2_counties,09003,Hartford County,NA,births,2453
2011,2_counties,09003,Hartford County,NA,births,9732
2012,2_counties,09003,Hartford County,NA,births,9480
2013,2_counties,09003,Hartford County,NA,births,9391
2014,2_counties,09003,Hartford County,NA,births,9346
2015,2_counties,09003,Hartford County,NA,births,9563
2016,2_counties,09003,Hartford County,NA,births,9357
2017,2_counties,09003,Hartford County,NA,births,9295
2018,2_counties,09003,Hartford County,NA,births,9232
NA,2_counties,09003,Hartford County,NA,births,9126
2010,2_counties,09015,Windham County,NA,births,290
2011,2_counties,09015,Windham County,NA,births,1195
2012,2_counties,09015,Windham County,NA,births,1189
2013,2_counties,09015,Windham County,NA,births,1181
2014,2_counties,09015,Windham County,NA,births,1125
2015,2_counties,09015,Windham County,NA,births,1118
2016,2_counties,09015,Windham County,NA,births,1093
2017,2_counties,09015,Windham County,NA,births,1066
2018,2_counties,09015,Windham County,NA,births,1089
NA,2_counties,09015,Windham County,NA,births,1060
2010,2_counties,09011,New London County,NA,births,657
2011,2_counties,09011,New London County,NA,births,2765
2012,2_counties,09011,New London County,NA,births,2862
2013,2_counties,09011,New London County,NA,births,2693
2014,2_counties,09011,New London County,NA,births,2678
2015,2_counties,09011,New London County,NA,births,2675
2016,2_counties,09011,New London County,NA,births,2626
2017,2_counties,09011,New London County,NA,births,2635
2018,2_counties,09011,New London County,NA,births,2550
NA,2_counties,09011,New London County,NA,births,2502
2010,2_counties,09007,Middlesex County,NA,births,356
2011,2_counties,09007,Middlesex County,NA,births,1533
2012,2_counties,09007,Middlesex County,NA,births,1480
2013,2_counties,09007,Middlesex County,NA,births,1363
2014,2_counties,09007,Middlesex County,NA,births,1382
2015,2_counties,09007,Middlesex County,NA,births,1367
2016,2_counties,09007,Middlesex County,NA,births,1305
2017,2_counties,09007,Middlesex County,NA,births,1251
2018,2_counties,09007,Middlesex County,NA,births,1274
NA,2_counties,09007,Middlesex County,NA,births,1248
2010,2_counties,09013,Tolland County,NA,births,338
2011,2_counties,09013,Tolland County,NA,births,1181
2012,2_counties,09013,Tolland County,NA,births,1126
2013,2_counties,09013,Tolland County,NA,births,1126
2014,2_counties,09013,Tolland County,NA,births,1130
2015,2_counties,09013,Tolland County,NA,births,1197
2016,2_counties,09013,Tolland County,NA,births,1163
2017,2_counties,09013,Tolland County,NA,births,1148
2018,2_counties,09013,Tolland County,NA,births,1132
NA,2_counties,09013,Tolland County,NA,births,1134
2010,2_counties,09001,Fairfield County,NA,births,2721
2011,2_counties,09001,Fairfield County,NA,births,10408
2012,2_counties,09001,Fairfield County,NA,births,10202
2013,2_counties,09001,Fairfield County,NA,births,10053
2014,2_counties,09001,Fairfield County,NA,births,10090
