year,level,geoid,name,county,var,estimate,moe
1990,1_state,09,Connecticut,NA,total_pop,3287116,0
2000,1_state,09,Connecticut,NA,total_pop,3405565,0
2001,1_state,09,Connecticut,NA,total_pop,3432835,0
2002,1_state,09,Connecticut,NA,total_pop,3458749,0
2003,1_state,09,Connecticut,NA,total_pop,3484336,0
2004,1_state,09,Connecticut,NA,total_pop,3496094,0
2005,1_state,09,Connecticut,NA,total_pop,3506956,0
2006,1_state,09,Connecticut,NA,total_pop,3517460,0
2007,1_state,09,Connecticut,NA,total_pop,3527270,0
2008,1_state,09,Connecticut,NA,total_pop,3545579,0
2009,1_state,09,Connecticut,NA,total_pop,3561807,0
2010,1_state,09,Connecticut,NA,total_pop,3574097,0
2011,1_state,09,Connecticut,NA,total_pop,3558172,0
2012,1_state,09,Connecticut,NA,total_pop,3572213,0
2013,1_state,09,Connecticut,NA,total_pop,3583561,0
2014,1_state,09,Connecticut,NA,total_pop,3592053,0
2015,1_state,09,Connecticut,NA,total_pop,3593222,0
2016,1_state,09,Connecticut,NA,total_pop,3588570,0
2017,1_state,09,Connecticut,NA,total_pop,3594478,0
2018,1_state,09,Connecticut,NA,total_pop,3581504,0
1990,2_counties,09001,Fairfield County,NA,total_pop,827645,0
2000,2_counties,09001,Fairfield County,NA,total_pop,882567,0
2001,2_counties,09001,Fairfield County,NA,total_pop,889063,0
2002,2_counties,09001,Fairfield County,NA,total_pop,892900,0
2003,2_counties,09001,Fairfield County,NA,total_pop,896342,0
2004,2_counties,09001,Fairfield County,NA,total_pop,897472,0
2005,2_counties,09001,Fairfield County,NA,total_pop,897653,0
2006,2_counties,09001,Fairfield County,NA,total_pop,896254,0
2007,2_counties,09001,Fairfield County,NA,total_pop,897498,0
2008,2_counties,09001,Fairfield County,NA,total_pop,903824,0
2009,2_counties,09001,Fairfield County,NA,total_pop,910421,0
2010,2_counties,09001,Fairfield County,NA,total_pop,916829,0
2011,2_counties,09001,Fairfield County,NA,total_pop,911196,0
2012,2_counties,09001,Fairfield County,NA,total_pop,918892,0
2013,2_counties,09001,Fairfield County,NA,total_pop,926233,0
2014,2_counties,09001,Fairfield County,NA,total_pop,934215,0
2015,2_counties,09001,Fairfield County,NA,total_pop,939983,0
2016,2_counties,09001,Fairfield County,NA,total_pop,941618,0
2017,2_counties,09001,Fairfield County,NA,total_pop,947328,0
2018,2_counties,09001,Fairfield County,NA,total_pop,944348,0
1990,2_counties,09003,Hartford County,NA,total_pop,851783,0
2000,2_counties,09003,Hartford County,NA,total_pop,857183,0
2001,2_counties,09003,Hartford County,NA,total_pop,862573,0
