year,name,bdr,units
2000,Fairfield County,Studio or 1 bedroom,53293
2000,Fairfield County,2 bedrooms,83194
2000,Fairfield County,3 bedrooms,112514
2000,Fairfield County,4 or more bedrooms,90397
2000,Hartford County,Studio or 1 bedroom,55180
2000,Hartford County,2 bedrooms,103887
2000,Hartford County,3 bedrooms,131238
2000,Hartford County,4 or more bedrooms,63180
2000,Litchfield County,Studio or 1 bedroom,9510
2000,Litchfield County,2 bedrooms,20433
2000,Litchfield County,3 bedrooms,33293
2000,Litchfield County,4 or more bedrooms,16396
2000,Middlesex County,Studio or 1 bedroom,9006
2000,Middlesex County,2 bedrooms,17944
2000,Middlesex County,3 bedrooms,27701
2000,Middlesex County,4 or more bedrooms,12247
2000,New Haven County,Studio or 1 bedroom,56407
2000,New Haven County,2 bedrooms,103093
2000,New Haven County,3 bedrooms,127136
2000,New Haven County,4 or more bedrooms,53651
2000,New London County,Studio or 1 bedroom,15028
2000,New London County,2 bedrooms,30796
2000,New London County,3 bedrooms,44137
2000,New London County,4 or more bedrooms,20555
2000,Tolland County,Studio or 1 bedroom,7712
2000,Tolland County,2 bedrooms,11284
2000,Tolland County,3 bedrooms,22440
2000,Tolland County,4 or more bedrooms,10523
2000,Windham County,Studio or 1 bedroom,6640
2000,Windham County,2 bedrooms,11790
2000,Windham County,3 bedrooms,18025
2000,Windham County,4 or more bedrooms,7532
2010,Fairfield County,Studio or 1 bedroom,53124
2010,Fairfield County,2 bedrooms,88909
2010,Fairfield County,3 bedrooms,116102
2010,Fairfield County,4 or more bedrooms,99997
2010,Hartford County,Studio or 1 bedroom,55143
2010,Hartford County,2 bedrooms,107788
2010,Hartford County,3 bedrooms,139440
2010,Hartford County,4 or more bedrooms,69427
2010,Litchfield County,Studio or 1 bedroom,10372
2010,Litchfield County,2 bedrooms,21305
2010,Litchfield County,3 bedrooms,35450
2010,Litchfield County,4 or more bedrooms,19480
2010,Middlesex County,Studio or 1 bedroom,9037
2010,Middlesex County,2 bedrooms,19291
2010,Middlesex County,3 bedrooms,29385
2010,Middlesex County,4 or more bedrooms,16308
2010,New Haven County,Studio or 1 bedroom,55390
2010,New Haven County,2 bedrooms,109146
2010,New Haven County,3 bedrooms,134000
2010,New Haven County,4 or more bedrooms,60973
2010,New London County,Studio or 1 bedroom,15054
2010,New London County,2 bedrooms,31848
2010,New London County,3 bedrooms,47908
2010,New London County,4 or more bedrooms,24968
2010,Tolland County,Studio or 1 bedroom,7651
2010,Tolland County,2 bedrooms,12718
2010,Tolland County,3 bedrooms,23859
2010,Tolland County,4 or more bedrooms,13066
2010,Windham County,Studio or 1 bedroom,5717
2010,Windham County,2 bedrooms,13271
2010,Windham County,3 bedrooms,20525
2010,Windham County,4 or more bedrooms,9005
2018,Fairfield County,Studio or 1 bedroom,55241
2018,Fairfield County,2 bedrooms,89678
2018,Fairfield County,3 bedrooms,116728
2018,Fairfield County,4 or more bedrooms,109352
2018,Hartford County,Studio or 1 bedroom,57861
2018,Hartford County,2 bedrooms,103611
2018,Hartford County,3 bedrooms,142961
2018,Hartford County,4 or more bedrooms,74267
2018,Litchfield County,Studio or 1 bedroom,9717
2018,Litchfield County,2 bedrooms,21884
2018,Litchfield County,3 bedrooms,37783
2018,Litchfield County,4 or more bedrooms,18769
2018,Middlesex County,Studio or 1 bedroom,9326
2018,Middlesex County,2 bedrooms,21170
2018,Middlesex County,3 bedrooms,30174
2018,Middlesex County,4 or more bedrooms,15454
2018,New Haven County,Studio or 1 bedroom,62222
2018,New Haven County,2 bedrooms,108656
2018,New Haven County,3 bedrooms,130218
2018,New Haven County,4 or more bedrooms,65170
2018,New London County,Studio or 1 bedroom,15465
2018,New London County,2 bedrooms,33489
2018,New London County,3 bedrooms,48533
2018,New London County,4 or more bedrooms,25514
2018,Tolland County,Studio or 1 bedroom,9064
2018,Tolland County,2 bedrooms,14214
2018,Tolland County,3 bedrooms,22879
2018,Tolland County,4 or more bedrooms,13247
2018,Windham County,Studio or 1 bedroom,6270
2018,Windham County,2 bedrooms,13101
2018,Windham County,3 bedrooms,21855
2018,Windham County,4 or more bedrooms,8432
