year,name,type,units
2000,Fairfield County,Single family,223581
2000,Fairfield County,Multifamily,115817
2000,Hartford County,Single family,215704
2000,Hartford County,Multifamily,137781
2000,Litchfield County,Single family,62024
2000,Litchfield County,Multifamily,17608
2000,Middlesex County,Single family,50531
2000,Middlesex County,Multifamily,16367
2000,New Haven County,Single family,200042
2000,New Haven County,Multifamily,140245
2000,New London County,Single family,78292
2000,New London County,Multifamily,32224
2000,Tolland County,Single family,39447
2000,Tolland County,Multifamily,12512
2000,Windham County,Single family,30935
2000,Windham County,Multifamily,13052
2010,Fairfield County,Single family,230740
2010,Fairfield County,Multifamily,127392
2010,Hartford County,Single family,227730
2010,Hartford County,Multifamily,144068
2010,Litchfield County,Single family,67804
2010,Litchfield County,Multifamily,18803
2010,Middlesex County,Single family,56444
2010,Middlesex County,Multifamily,17577
2010,New Haven County,Single family,216249
2010,New Haven County,Multifamily,143260
2010,New London County,Single family,85479
2010,New London County,Multifamily,34299
2010,Tolland County,Single family,43615
2010,Tolland County,Multifamily,13679
2010,Windham County,Single family,35338
2010,Windham County,Multifamily,13180
2018,Fairfield County,Single family,237380
2018,Fairfield County,Multifamily,133619
2018,Hartford County,Single family,235881
2018,Hartford County,Multifamily,142819
2018,Litchfield County,Single family,68191
2018,Litchfield County,Multifamily,19962
2018,Middlesex County,Single family,57056
2018,Middlesex County,Multifamily,19068
2018,New Haven County,Single family,216082
2018,New Haven County,Multifamily,150184
2018,New London County,Single family,87304
2018,New London County,Multifamily,35697
2018,Tolland County,Single family,44201
2018,Tolland County,Multifamily,15203
2018,Windham County,Single family,36525
2018,Windham County,Multifamily,13133
