year,name,tenure,occupancy,cost_group,units
2000,Fairfield County,owner,occupied,Up to $600,17161
2000,Fairfield County,owner,occupied,"$601 to $1,000",37730
2000,Fairfield County,owner,occupied,"$1,001 to $1,500",30111
2000,Fairfield County,owner,occupied,"$1,500 to $2,300",53060
2000,Fairfield County,owner,occupied,"$2,301 and up",86646
2000,Hartford County,owner,occupied,Up to $600,35905
2000,Hartford County,owner,occupied,"$601 to $1,000",38992
2000,Hartford County,owner,occupied,"$1,001 to $1,500",42854
2000,Hartford County,owner,occupied,"$1,500 to $2,300",64540
2000,Hartford County,owner,occupied,"$2,301 and up",33755
2000,Litchfield County,owner,occupied,Up to $600,8259
2000,Litchfield County,owner,occupied,"$601 to $1,000",9059
2000,Litchfield County,owner,occupied,"$1,001 to $1,500",10737
2000,Litchfield County,owner,occupied,"$1,500 to $2,300",17345
2000,Litchfield County,owner,occupied,"$2,301 and up",8842
2000,Middlesex County,owner,occupied,Up to $600,6801
2000,Middlesex County,owner,occupied,"$601 to $1,000",6973
2000,Middlesex County,owner,occupied,"$1,001 to $1,500",8272
2000,Middlesex County,owner,occupied,"$1,500 to $2,300",14162
2000,Middlesex County,owner,occupied,"$2,301 and up",7586
2000,New Haven County,owner,occupied,Up to $600,28283
2000,New Haven County,owner,occupied,"$601 to $1,000",38433
2000,New Haven County,owner,occupied,"$1,001 to $1,500",40403
2000,New Haven County,owner,occupied,"$1,500 to $2,300",62283
2000,New Haven County,owner,occupied,"$2,301 and up",31561
2000,New London County,owner,occupied,Up to $600,13726
2000,New London County,owner,occupied,"$601 to $1,000",10661
2000,New London County,owner,occupied,"$1,001 to $1,500",15117
2000,New London County,owner,occupied,"$1,500 to $2,300",19620
2000,New London County,owner,occupied,"$2,301 and up",7165
2000,Tolland County,owner,occupied,Up to $600,5604
2000,Tolland County,owner,occupied,"$601 to $1,000",5466
2000,Tolland County,owner,occupied,"$1,001 to $1,500",7857
2000,Tolland County,owner,occupied,"$1,500 to $2,300",12376
