year,name,ownershp2,units
2000,Fairfield County,Owner,227295
2000,Fairfield County,Renter,103900
2000,Hartford County,Owner,218512
2000,Hartford County,Renter,127997
2000,Litchfield County,Owner,55011
2000,Litchfield County,Renter,18580
2000,Middlesex County,Owner,44347
2000,Middlesex County,Renter,18059
2000,New Haven County,Owner,204046
2000,New Haven County,Renter,125774
2000,New London County,Owner,67441
2000,New London County,Renter,35774
2000,Tolland County,Owner,37013
2000,Tolland County,Renter,13467
2000,Windham County,Owner,28166
2000,Windham County,Renter,14287
2010,Fairfield County,Owner,238307
2010,Fairfield County,Renter,105272
2010,Hartford County,Owner,233201
2010,Hartford County,Renter,126205
2010,Litchfield County,Owner,60989
2010,Litchfield County,Renter,17672
2010,Middlesex County,Owner,52081
2010,Middlesex County,Renter,16997
2010,New Haven County,Owner,219154
2010,New Haven County,Renter,124032
2010,New London County,Owner,75723
2010,New London County,Renter,34117
2010,Tolland County,Owner,41956
2010,Tolland County,Renter,13539
2010,Windham County,Owner,32103
2010,Windham County,Renter,13305
2018,Fairfield County,Owner,230702
2018,Fairfield County,Renter,120936
2018,Hartford County,Owner,227282
2018,Hartford County,Renter,134235
2018,Litchfield County,Owner,58051
2018,Litchfield County,Renter,18051
2018,Middlesex County,Owner,50250
2018,Middlesex County,Renter,19272
2018,New Haven County,Owner,206256
2018,New Haven County,Renter,137722
2018,New London County,Owner,73183
2018,New London County,Renter,37998
2018,Tolland County,Owner,40305
2018,Tolland County,Renter,16339
2018,Windham County,Owner,31615
2018,Windham County,Renter,14146
